sp,Tangara_palmarum,Tangara_sayaca,Tangara_cayana,Tangara_seledon,Dacnis_cayana,Cyanerpes_cyaneus,Nemosia_pileata,Elaenia_flavogaster,Myiozetetes_similis,Pitangus_sulphuratus,Turdus.rufiventris,Turdus.leucomelas,Vireo_olivaceus,Cyclarhis_gujanensis,Coereba_flaveola,Icterus_cayanensis,Euphonia_violacea
Tapirira_guianensis,0.008108108108108109,0,0.002702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Didymopanax_morototoni,0.16216216216216217,0,0,0,0,0,0,0.008108108108108109,0,0,0.002702702702702703,0.024324324324324326,0,0,0,0,0
Cecropia_sp.,0.008108108108108109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maytenus_distichophylla,0,0,0,0,0.005405405405405406,0,0,0,0,0,0,0,0,0,0,0,0
Curatella_americana,0.008108108108108109,0.005405405405405406,0,0,0.005405405405405406,0.008108108108108109,0,0.002702702702702703,0.008108108108108109,0,0,0,0,0,0,0,0
Pera_glabrata,0.002702702702702703,0,0.008108108108108109,0.002702702702702703,0.04054054054054054,0.04594594594594595,0,0,0.021621621621621623,0,0,0,0.005405405405405406,0.005405405405405406,0,0,0
Sapium_glandulatum,0,0,0,0,0.002702702702702703,0,0,0,0,0,0,0,0,0,0,0,0
Byrsonima_sericea,0.010810810810810811,0.002702702702702703,0.002702702702702703,0,0,0,0,0,0.010810810810810811,0,0,0.013513513513513514,0.002702702702702703,0,0,0.005405405405405406,0
Clidemia_hirta,0,0,0.005405405405405406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_minutiflora,0.15135135135135136,0.016216216216216217,0.013513513513513514,0,0.021621621621621623,0,0.016216216216216217,0.008108108108108109,0.04864864864864865,0.002702702702702703,0.005405405405405406,0.016216216216216217,0.002702702702702703,0,0.002702702702702703,0,0
Miconia_albicans,0.002702702702702703,0,0,0,0,0,0,0.002702702702702703,0.008108108108108109,0,0,0,0,0,0,0,0
Miconia_ciliata,0,0,0.005405405405405406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rapanea_gardneriana,0,0.02972972972972973,0.002702702702702703,0.010810810810810811,0,0,0,0.005405405405405406,0,0,0,0.002702702702702703,0,0.002702702702702703,0,0,0
Myrcia_guianensis,0,0,0.005405405405405406,0,0,0,0,0,0.002702702702702703,0,0,0,0,0,0,0,0
Eugenia_cyclophylla,0.01891891891891892,0.002702702702702703,0,0,0,0,0,0,0,0,0,0.008108108108108109,0,0,0,0,0
Myrcia_sp.,0.002702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guapira_opposita,0,0,0.002702702702702703,0,0,0,0,0,0,0,0,0.002702702702702703,0,0,0,0,0
Chiococca_sp.,0,0,0,0,0,0,0,0,0,0,0,0.002702702702702703,0,0,0,0,0
Allophylus_edulis,0,0,0,0,0.002702702702702703,0,0,0.002702702702702703,0.005405405405405406,0.005405405405405406,0,0.010810810810810811,0,0,0,0,0
Cupania_emarginata,0.032432432432432434,0.010810810810810811,0.002702702702702703,0,0,0,0,0.002702702702702703,0.002702702702702703,0,0,0.002702702702702703,0,0.005405405405405406,0,0,0
Paullinia_micrantha,0.002702702702702703,0.01891891891891892,0.010810810810810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoradendron_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005405405405405406
