sp;Catharus_ustulatus;Machaeropterus_regulus;Manacus_manacus;Pipra_coronata;Pipra_pipra;Tachyphonus_urinamus;Tangara_schrankii;Artibeus_gnomus;Artibeus_jamaicensis;Artibeus_lituratus;Artibeus_obscurus;Carollia_brevicauda;Carollia_castanea;Carollia_perspicillata;Phyllostomus_hastatus;Rhinophylla_pumilio;Sturnira_lilium_;Uroderma_bilobatum
Miconia_minutiflora;0;1;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_ternatifolia;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_splendens;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_dolichorrhyncha;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0
Miconia_wittii;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_phanerostila;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
Miconia_duckei;3;2;4;4;24;4;0;0;0;0;0;0;0;0;0;0;0;0
Melastomataceae_sp.1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Tococa_discolor;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Clidemia_hirta;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
Ossaea_cucullata;0;3;1;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0
Clidemia_japurensis_var._heterobasis;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Henriettea_sp.;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Ossaea_araneifera;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Unk._sp.1;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Tococa_guienensis;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clidemia_epiphyti;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_poeppigi;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_tetragona;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Loreya_arborescens;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Psychotria_deflexa;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
