sp,Catharus_ustulatus,Machaeropterus_regulus,Manacus_manacus,Pipra_coronata,Pipra_pipra,Tachyphonus_urinamus,Tangara_schrankii,Artibeus_gnomus,Artibeus_jamaicensis,Artibeus_lituratus,Artibeus_obscurus,Carollia_brevicauda,Carollia_castanea,Carollia_perspicillata,Phyllostomus_hastatus,Rhinophylla_pumilio,Sturnira_lilium_,Uroderma_bilobatum
Miconia_minutiflora,0,9.033423667570009e-4,0,0.0036133694670280035,0.004516711833785004,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_ternatifolia,0,0,0,0.0036133694670280035,0.005420054200542005,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_splendens,0,0,0,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_dolichorrhyncha,0,0,0,0,0.0036133694670280035,9.033423667570009e-4,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0
Miconia_wittii,0,0,0,9.033423667570009e-4,0.0018066847335140017,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_phanerostila,0,9.033423667570009e-4,0,0,0.0018066847335140017,0,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0
Miconia_duckei,0.0027100271002710027,0.0018066847335140017,0.0036133694670280035,0.0036133694670280035,0.02168021680216802,0.0036133694670280035,0,0,0,0,0,0,0,0,0,0,0,0
Melastomataceae_sp.1,0,0,0,0,0,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0
Tococa_discolor,0,0.0018066847335140017,0,0,9.033423667570009e-4,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0
Clidemia_hirta,9.033423667570009e-4,0,0,0,9.033423667570009e-4,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0
Ossaea_cucullata,0,0.0027100271002710027,9.033423667570009e-4,0.0027100271002710027,0.004516711833785004,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0
Clidemia_japurensis_var._heterobasis,0,0,0,0,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0
Henriettea_sp.,0,0.0018066847335140017,0,9.033423667570009e-4,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0
Ossaea_araneifera,0,0,0,0,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0
Unk._sp.1,0,0,9.033423667570009e-4,0.0018066847335140017,0.0027100271002710027,0,0,0,0,0,0,0,0,0,0,0,0,0
Tococa_guienensis,0,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clidemia_epiphyti,0,0,0,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_poeppigi,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_tetragona,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Loreya_arborescens,0,0,0,0,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria_deflexa,0,0,0,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria_alboviridula,0,0,0,9.033423667570009e-4,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0
Palicourea_punicea,0,0,0,0,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria_sp.,0,0,0,0,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubiaceae_spp.,0,0,9.033423667570009e-4,9.033423667570009e-4,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Coussapoa_cf.parvifolia,0,0,0,0,9.033423667570009e-4,9.033423667570009e-4,0.0018066847335140017,0,0,0,0,0,0,0,0,0,0,0
Ficus_americana,0,0,0,0,9.033423667570009e-4,9.033423667570009e-4,0,0,0,0,0,0,0,0,0,0,0,0
