sp,Artibeus_jamaicensis,Artibeus_lituratus,Vampyrops_helleri,Artibeus_phaeotis,Carollia_perspicillata,Carollia_brevicauda,Carollia_castanea,Ramphocelus_paserinii,Mionectes_oleagineus,Saltator_maximus,Manacus_candei,Turdus_grayi,Dumetella_carolinensis,Hylocichla_mustelina
Ficus_insipida,0.01282051282051282,0.017948717948717947,0,0,0,0.002564102564102564,0,0,0,0,0,0,0,0
Cecropia_obtusifolia,0,0.007692307692307693,0.010256410256410256,0.010256410256410256,0,0,0.002564102564102564,0,0,0,0,0,0,0
Ficus_sp.2,0,0,0,0.005128205128205128,0,0,0,0,0,0,0,0,0,0
Solanum_rugosum,0,0,0.002564102564102564,0.002564102564102564,0.002564102564102564,0.010256410256410256,0,0,0,0,0,0,0,0
Cassia_fruticosa,0,0,0,0,0.028205128205128206,0.015384615384615385,0.002564102564102564,0,0,0,0,0,0,0
Piper_friedrichsthalli,0,0,0,0,0.023076923076923078,0.007692307692307693,0.01282051282051282,0,0,0,0,0,0,0
Unk.1,0,0,0,0,0,0.007692307692307693,0,0,0,0,0,0,0,0
Piper_arieianum,0,0,0,0,0.002564102564102564,0.017948717948717947,0.020512820512820513,0,0,0,0,0,0,0
Piper_cenocladum,0,0,0,0,0,0.005128205128205128,0.002564102564102564,0,0,0,0,0,0,0
Piper_sp.1,0,0,0,0,0,0.002564102564102564,0.002564102564102564,0,0,0,0,0,0,0
Unk.2,0,0,0,0,0,0.002564102564102564,0.002564102564102564,0,0,0,0,0,0,0
Piper sp.2,0,0,0,0,0,0,0.005128205128205128,0,0,0,0,0,0,0
Piper_saricti-felicis,0,0,0,0,0.01282051282051282,0.041025641025641026,0.038461538461538464,0.002564102564102564,0,0,0,0,0,0
Piper_multiplinervum,0,0,0,0,0.007692307692307693,0.002564102564102564,0.03333333333333333,0.002564102564102564,0,0,0,0,0,0
Vismia_sp.1,0,0,0.035897435897435895,0,0,0,0.002564102564102564,0,0,0,0,0,0,0
Piper_auritum,0.002564102564102564,0.002564102564102564,0.01282051282051282,0,0,0,0,0.007692307692307693,0.002564102564102564,0,0,0,0,0
Pothomorphe_peltatum,0,0,0,0.005128205128205128,0,0,0,0,0,0.002564102564102564,0,0,0,0
Lyciarithes_multiﬂorum,0,0,0,0.005128205128205128,0,0,0,0,0,0.005128205128205128,0,0,0,0
Unk.3,0,0,0,0,0,0,0,0,0.007692307692307693,0,0,0,0,0
Unk.4,0,0,0,0,0,0,0,0,0.005128205128205128,0,0,0,0,0
Ficus_colubrinae,0,0,0,0,0,0,0,0.002564102564102564,0,0,0,0.002564102564102564,0,0
Conostegia_subcruslata,0,0,0,0,0,0,0,0.01282051282051282,0.002564102564102564,0.005128205128205128,0.015384615384615385,0.002564102564102564,0,0
Casearia_corymbosum,0,0,0,0,0,0,0,0,0.010256410256410256,0,0.002564102564102564,0,0,0
Phytolacca_rivinoides,0,0,0,0,0,0,0,0.03333333333333333,0.002564102564102564,0.04358974358974359,0.035897435897435895,0.005128205128205128,0.017948717948717947,0.007692307692307693
Clibadium_pittieri,0,0,0,0,0,0,0,0,0,0.002564102564102564,0.002564102564102564,0,0,0
Hamelia_patens,0,0,0,0,0,0,0,0.015384615384615385,0,0.04358974358974359,0.06153846153846154,0,0.017948717948717947,0.002564102564102564
Witheringia_aslerolricha,0,0,0,0,0,0,0,0.002564102564102564,0,0,0.005128205128205128,0,0.002564102564102564,0
Unk.5,0,0,0,0,0,0,0,0,0,0.007692307692307693,0.007692307692307693,0,0,0
Hampea appendiculata,0,0,0,0,0,0,0,0,0.005128205128205128,0,0.020512820512820513,0.005128205128205128,0.002564102564102564,0.005128205128205128
Ficus_pertusa,0,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,0,0
Miconia_ibarbinervis,0,0,0,0,0,0,0,0,0,0,0.017948717948717947,0,0,0.002564102564102564
Neea_laetevirens,0,0,0,0,0,0,0,0,0,0,0.015384615384615385,0,0.002564102564102564,0
Unk.6,0,0,0,0,0,0,0,0,0,0,0.005128205128205128,0,0,0.002564102564102564
Xiphidium_caeruleum,0,0,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,0.005128205128205128
Psychotria_pittieri,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,0,0.007692307692307693,0.017948717948717947
