sp;Carollia_castanea;Carollia_sowelli;Carollia_perspicillata;Artibeus_jamaicensis;Dermanura_sp;Glossophaga_commissarisi;Vampyressa_nymphaea;Vampyrops_helleri;Artibeus_lituratus;Chiroderma_villosum;Uroderma_bilobatum;Hylonycteris_underwoodi;Phylloderma_stenops;Vampyressa_pusilla
Piper_sancti-felicis;69;43;17;1;14;2;1;0;0;0;1;0;0;0
Piper_auritum;2;58;29;1;19;14;0;0;1;0;0;0;0;0
Piper_multiplinervium;64;21;33;0;1;0;0;0;0;0;0;0;0;0
Vismia_panamensis;4;25;21;5;2;25;0;0;4;0;0;1;0;0
Cecropia_obtusifolia;0;0;0;23;16;1;5;10;4;1;1;0;0;1
Solanum_rugosum;7;19;15;1;1;1;4;0;0;0;3;0;0;0
Ficus_cahuitensis;0;0;0;32;1;0;3;3;2;8;1;0;0;0
Piper_glabratum;29;7;6;0;5;2;0;0;0;0;0;0;0;0
Piper_colonense;12;13;2;0;6;1;0;0;0;0;0;0;0;0
Piper_friedrichsthalii;17;2;9;0;0;1;0;0;0;0;0;0;0;0
Philodendron_sp;2;14;3;0;1;1;0;0;0;0;0;0;0;0
Ficus_insipida;0;0;0;16;0;0;0;1;1;0;0;0;0;0
Markea_neuratha;0;5;2;0;1;5;0;0;0;0;0;3;0;0
Piper_trigonum;9;5;0;0;0;0;0;0;0;0;0;0;0;0
Piper_sp3;5;2;1;0;0;0;0;0;0;0;0;0;0;0
Cecropia_insignis;0;0;0;0;0;8;0;0;0;0;0;0;0;0
Piper_augustum;1;5;1;0;0;0;0;0;0;0;0;0;0;0
Senna_fruticosa;1;1;5;0;0;0;0;0;0;0;0;0;0;0
Piper_reticulatum;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Piper_sp2;3;3;0;0;0;0;0;0;0;0;0;0;0;0
Solanum_arboreum;2;2;2;0;0;0;0;0;0;0;0;0;0;0
Ficus_popenoei;0;0;0;1;2;0;3;0;0;0;0;0;0;0
Ficus_nymphaeifolia;0;0;0;4;0;0;0;0;1;0;0;0;0;0
Piper_aduncum;2;2;1;0;0;0;0;0;0;0;0;0;0;0
Piper_sp1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Hernandia_didymantha;0;0;0;3;0;0;0;0;0;1;0;0;0;0
Anthurium_sp;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Passiflora_sp.;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Pothomorphe_peltata;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Annona_sp.;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Ficus_pertusa;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Piper_hispidum;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Piper_sp4;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Piper_sp5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Clarisia_mexicana;0;0;0;1;0;0;0;0;0;0;0;0;0;0
