sp,Geospiza_fuliginosa,Mimus_melanotis,Mimus_parvulus,Myiarchus_magnirostris,Dendroica_petechia,Geospiza_fortis,Geospiza_magnirostris,Crotophaga_ani,Platyspizia_crassirostris,Camarhynchus_parvulus,Certhidea_fusca,Geospiza_scandens,Camarhynchus_pallidus,Certhidea_olivacea,Camarhynchus_psittacula
Miconia_robinsoniana,0.05319148936170213,0.0017730496453900709,0,0.010638297872340425,0.12234042553191489,0.008865248226950355,0,0.0035460992907801418,0.0070921985815602835,0.02304964539007092,0.005319148936170213,0,0.012411347517730497,0.0070921985815602835,0
Tournefortia_psilostachya,0,0.008865248226950355,0.05319148936170213,0.01773049645390071,0.01950354609929078,0.0017730496453900709,0,0.0017730496453900709,0.0017730496453900709,0,0,0,0,0,0
Talinum_paniculatum,0.0070921985815602835,0,0,0,0.0017730496453900709,0.0017730496453900709,0.0017730496453900709,0,0,0.005319148936170213,0,0,0,0,0.0017730496453900709
Rubus_niveus,0.0017730496453900709,0.010638297872340425,0,0.01773049645390071,0,0.0035460992907801418,0,0,0,0,0,0,0.0017730496453900709,0,0
Zanthoxylum_fagara,0,0.010638297872340425,0.0035460992907801418,0.03546099290780142,0,0,0,0.0017730496453900709,0,0,0,0,0,0,0
Tournefortia_pubescens,0,0.0035460992907801418,0.028368794326241134,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0
Lantana_camara,0,0.008865248226950355,0,0.014184397163120567,0,0,0,0,0,0,0,0,0,0,0
Paspalum_conjugatum,0.044326241134751775,0,0,0,0.012411347517730497,0,0,0.0017730496453900709,0,0.0017730496453900709,0.0017730496453900709,0,0,0,0
Eragrostis_sp.,0.0797872340425532,0,0,0,0,0.0017730496453900709,0.0017730496453900709,0,0.0017730496453900709,0,0,0,0,0,0
Chiococca_alba,0,0.030141843971631204,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0,0
Polygonum_opelousanum,0.026595744680851064,0,0,0,0,0.0017730496453900709,0.0017730496453900709,0,0,0,0,0.0017730496453900709,0,0,0
Scutia_spicata,0,0.0017730496453900709,0.0017730496453900709,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0
Passiflora_foetida,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0
Tournefortia_rufo-sericea,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0
Portulaca_oleraceae,0.008865248226950355,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0
Psidium_guajava,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0
Bursera_graveolens,0,0,0.0070921985815602835,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0
Desmodium_procumbens,0.0017730496453900709,0,0,0,0,0.0017730496453900709,0.0035460992907801418,0,0,0,0,0,0,0,0
Fimbrystilis_dichotoma,0.03723404255319149,0,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0
Vallesia_glabra,0,0.0017730496453900709,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0
Desmodium_incanum,0.0017730496453900709,0,0,0,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0
Gen._sp.1,0,0,0,0.0017730496453900709,0,0,0,0,0.0035460992907801418,0,0,0,0,0,0
Panicum_sp.,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poacea_sp.2,0.09574468085106383,0,0,0,0,0,0,0,0,0,0,0.0017730496453900709,0,0,0
Cordia_leucophlyctis,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0
Lantana_peduncularis,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0
Momordica_charantia,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0
Cordia_lutea,0,0,0.005319148936170213,0,0,0,0,0,0,0,0,0,0,0,0
Maytenus_octogona,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0
Mentzelia_aspera,0.0070921985815602835,0,0,0,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0
Gen._sp.2,0.012411347517730497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gen._sp.3,0,0,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0
Gen._sp.5,0,0,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0
Gen._sp.6,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poacea_sp.1,0.014184397163120567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilea_baurii,0,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0
Pennisetum_purpureum,0,0,0,0,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0
Solanum_americanum,0,0,0,0,0,0,0,0,0,0.0017730496453900709,0,0,0,0,0
Tradescantia_fluminensis_,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erichloa_pacifica,0.005319148936170213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypoxis_decumbens,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ludwigia_leptocarpa,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sida_espinosa,0.0017730496453900709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
