sp;Artbeus_jamaicensis;Artbeus_tolteca;Carollia_sowelli;Dermanura_tolteca;Glossophaga_commissarisi;Sturnira_parvidens;Sturnira_hondurensis
Af._Cecropia;1;0;0;0;0;0;0
Hedyosmum_mexicanum;0;0;2;0;0;5;53
Lycianthes_geminifolia;0;0;0;1;0;3;2
Miconia_glaberrima;0;0;0;0;0;0;1
Piper_hispidum;1;0;11;0;0;1;48
Piper_lapathifolium;0;0;9;0;0;22;54
Piper_spp1;0;0;0;0;0;0;2
Piper_auritum;0;0;6;0;0;0;11
Piper_sp3;0;0;0;0;0;0;1
Piper_sp4;0;0;0;0;0;0;2
Solanaceae_sp1;0;0;0;0;0;0;3
Solanaceae_sp2;0;0;1;0;0;0;0
Solanaceae_sp3;0;0;0;0;0;1;3
Solanaceae_sp4;0;0;0;0;0;0;7
Solanum_acerifolium;0;0;0;0;0;0;2
Solanum_aphyodendron;1;1;6;4;0;10;31
Solanum_schlechtendalianum;1;0;2;0;0;6;35
Solanum_diforum;0;0;1;0;0;0;1
Unk._Sp1;0;0;1;0;0;2;2
Unk._Sp4;1;0;0;0;0;0;0
Unk._Sp5;1;0;0;0;0;0;0
Trema_micrantha;3;0;0;4;1;0;4
