sp;Artbeus_jamaicensis;Carollia_sowelli;Dermanura_tolteca;Glossophaga_soricina;Sturnira_parvidens;Sturnira_hondurensis
Af._Cecropia;2;0;0;0;0;0
Eriobotrya_japonica;0;0;1;0;0;0
Ficus_(Urostigma);1;0;0;0;0;0
Hedyosmum_mexicanum;0;0;0;0;0;1
Lycianthes_geminifolia;5;1;0;0;2;4
Miconia_mexicana;0;0;0;1;0;0
Piper_auritum;1;1;0;0;0;10
Piper_hispidum;0;0;0;0;1;2
Piper_lapathifolium;0;1;0;0;4;2
Piper_sp2;0;1;0;0;0;0
Piper_sp5;0;0;0;1;0;0
Solanaceae_sp2;0;0;0;0;0;1
Solanum_acerifolium;0;0;0;0;0;4
Solanum_aphyodendron;0;4;1;0;2;12
Solanum_schlechtendalianum;0;1;0;0;0;4
Unk._Sp2;1;0;0;0;0;0
Unk._Sp3;1;0;0;0;0;0
Trema_micrantha;1;0;0;0;0;0
Vismia_mexicana;0;7;1;0;1;11
