sp,Sturnira_lilium,Artibeus_fimbriatus,Carollia_perspicillata,Artibeus_lituratus,Sturnira_tildae,Artibeus_jamaicensis,Pygoderma_bilabiatum
Solanum_sanctae-katharinae,0.12295081967213115,0.00819672131147541,0.00819672131147541,0,0.02459016393442623,0,0
Vismia_sp,0.06557377049180328,0.03278688524590164,0.01639344262295082,0,0,0,0.00819672131147541
Solanum_swartzianum,0.09016393442622951,0.00819672131147541,0,0,0,0,0
Ficus_sp,0.00819672131147541,0.040983606557377046,0,0.02459016393442623,0,0.00819672131147541,0
Piper_dilatatum,0.03278688524590164,0.00819672131147541,0.01639344262295082,0,0,0,0
Polpa_sem_semente,0.01639344262295082,0.00819672131147541,0.01639344262295082,0,0.00819672131147541,0,0
Cecropia_glaziovi,0.00819672131147541,0.02459016393442623,0,0.00819672131147541,0,0,0
Ficus_luschnathiana,0.00819672131147541,0.02459016393442623,0,0.00819672131147541,0,0,0
Piper_aduncum,0,0,0.040983606557377046,0,0,0,0
Vassobia_breviflora,0.00819672131147541,0.03278688524590164,0,0,0,0,0
Solanum_subsylvestris,0.02459016393442623,0,0.00819672131147541,0,0,0,0
Cecropia_pachystachya,0.01639344262295082,0.00819672131147541,0,0,0,0,0
Familias_indeterminadas,0,0.01639344262295082,0,0.00819672131147541,0,0,0
Piper_sp,0.00819672131147541,0,0.01639344262295082,0,0,0,0
Solanum_megalochiton,0.02459016393442623,0,0,0,0,0,0
Solanum_rufescens,0.00819672131147541,0,0,0.00819672131147541,0.00819672131147541,0,0
Solanum_scuticum,0.02459016393442623,0,0,0,0,0,0
Solanum_sp,0.02459016393442623,0,0,0,0,0,0
Philodendron_apendiculatum,0,0,0.01639344262295082,0,0,0,0
Aureliana_sp,0.00819672131147541,0,0,0,0,0,0
Rubus_brasiliensis,0.00819672131147541,0,0,0,0,0,0
Solanum_paranaense,0,0,0.00819672131147541,0,0,0,0
Solanum_cinnamomeum,0.00819672131147541,0,0,0,0,0,0
Solanum_variabile,0.00819672131147541,0,0,0,0,0,0
