sp;Leptotila_cassinii;Mionectes_oleagineus;Empidonax_virescens;Schiffornis_turdinus;Manacus_vitellinus;Pipra_coronata;P_mentalis;C_fuscescens;C_minimus;C_ustulatus;Dendroica_pensylvanica;D_striata;Seiurus_aurocapillus;Euphonia_fulvicrissa;Eucometis_penicillata;Tachyphonus_luctuosus;Habia_fuscicauda;Ramphocelus_dimidiatus;Oryzoborus_angolensis;Trogon_rufus
argentea;1;1;0;0;2;5;24;0;0;14;2;1;0;0;10;13;1;1;1;0
minutiflora;0;2;0;0;0;16;17;0;1;6;0;0;0;0;0;0;0;0;0;0
impetiolaris;0;1;0;1;2;16;12;0;0;0;0;0;0;0;1;0;0;0;0;0
lacera;0;0;1;0;2;17;16;1;2;3;0;0;1;6;0;0;0;0;0;0
acuminata;0;0;0;0;0;7;26;1;3;13;0;0;0;0;0;0;0;0;0;0
brachybotrya;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;3;0;0;0
deflexa;0;0;0;0;0;11;9;0;0;5;0;0;0;0;0;0;0;0;0;0
emetica;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0
grandis;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
hoffmannseggiana;0;0;0;1;1;7;52;1;3;3;0;0;0;0;0;0;0;0;0;0
horizontalis;0;1;1;0;2;2;13;2;1;6;0;0;0;0;0;0;0;0;0;0
limonensis;0;0;0;0;1;0;21;2;0;1;0;0;0;0;0;0;0;0;0;0
marginata;0;0;0;1;10;16;18;7;0;3;0;0;0;0;0;0;0;0;0;1
pittieri;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
poeppigiana;0;0;0;0;1;3;6;0;0;1;0;0;0;0;0;0;2;0;0;0
psychotrifolia;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
racemosa;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
