sp,Leptotila_cassinii,Mionectes_oleagineus,Empidonax_virescens,Schiffornis_turdinus,Manacus_vitellinus,Pipra_coronata,P_mentalis,C_fuscescens,C_minimus,C_ustulatus,Dendroica_pensylvanica,D_striata,Seiurus_aurocapillus,Euphonia_fulvicrissa,Eucometis_penicillata,Tachyphonus_luctuosus,Habia_fuscicauda,Ramphocelus_dimidiatus,Oryzoborus_angolensis,Trogon_rufus
argentea,0.0020325203252032522,0.0020325203252032522,0,0,0.0040650406504065045,0.01016260162601626,0.04878048780487805,0,0,0.028455284552845527,0.0040650406504065045,0.0020325203252032522,0,0,0.02032520325203252,0.026422764227642278,0.0020325203252032522,0.0020325203252032522,0.0020325203252032522,0
minutiflora,0,0.0040650406504065045,0,0,0,0.032520325203252036,0.034552845528455285,0,0.0020325203252032522,0.012195121951219513,0,0,0,0,0,0,0,0,0,0
impetiolaris,0,0.0020325203252032522,0,0.0020325203252032522,0.0040650406504065045,0.032520325203252036,0.024390243902439025,0,0,0,0,0,0,0,0.0020325203252032522,0,0,0,0,0
lacera,0,0,0.0020325203252032522,0,0.0040650406504065045,0.034552845528455285,0.032520325203252036,0.0020325203252032522,0.0040650406504065045,0.006097560975609756,0,0,0.0020325203252032522,0.012195121951219513,0,0,0,0,0,0
acuminata,0,0,0,0,0,0.014227642276422764,0.052845528455284556,0.0020325203252032522,0.006097560975609756,0.026422764227642278,0,0,0,0,0,0,0,0,0,0
brachybotrya,0,0,0,0,0,0.0040650406504065045,0.0020325203252032522,0,0,0.0020325203252032522,0,0,0,0,0,0,0.006097560975609756,0,0,0
deflexa,0,0,0,0,0,0.022357723577235773,0.018292682926829267,0,0,0.01016260162601626,0,0,0,0,0,0,0,0,0,0
emetica,0,0,0,0,0,0,0,0,0.008130081300813009,0.006097560975609756,0,0,0,0,0,0,0,0,0,0
grandis,0,0,0,0,0,0,0.0040650406504065045,0,0,0,0,0,0,0,0,0,0,0,0,0
hoffmannseggiana,0,0,0,0.0020325203252032522,0.0020325203252032522,0.014227642276422764,0.10569105691056911,0.0020325203252032522,0.006097560975609756,0.006097560975609756,0,0,0,0,0,0,0,0,0,0
horizontalis,0,0.0020325203252032522,0.0020325203252032522,0,0.0040650406504065045,0.0040650406504065045,0.026422764227642278,0.0040650406504065045,0.0020325203252032522,0.012195121951219513,0,0,0,0,0,0,0,0,0,0
limonensis,0,0,0,0,0.0020325203252032522,0,0.042682926829268296,0.0040650406504065045,0,0.0020325203252032522,0,0,0,0,0,0,0,0,0,0
marginata,0,0,0,0.0020325203252032522,0.02032520325203252,0.032520325203252036,0.036585365853658534,0.014227642276422764,0,0.006097560975609756,0,0,0,0,0,0,0,0,0,0.0020325203252032522
pittieri,0,0,0,0,0.0040650406504065045,0.0020325203252032522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poeppigiana,0,0,0,0,0.0020325203252032522,0.006097560975609756,0.012195121951219513,0,0,0.0020325203252032522,0,0,0,0,0,0,0.0040650406504065045,0,0,0
psychotrifolia,0,0,0,0,0,0.0040650406504065045,0.006097560975609756,0,0,0,0,0,0,0,0,0,0,0,0,0
racemosa,0,0,0,0,0.0020325203252032522,0.0020325203252032522,0.0020325203252032522,0,0,0,0,0,0,0,0,0,0,0,0,0
