sp;Carollia_perspicillata;Rhinophylla_pumillo;Artibeus_fimbriatus;Artibeus_lituratus;Artibeus_cinereus;Trachops_cirrhosus;Artibeus_planirostris;Artibeus_obscurus;Glossophaga_soricina;Plathyrrinus_lineatus;Trinycteris_nicefori;Phyllostomus_elongatus;Chiroxiphia_pareola;Pipra_rubrocapilla;Manacus_manacus;Saltator_maximus;Turdus_albicollis;Dysithamnus_mentalis;Euphonia_violacea;Tangara_cayana
Piper_marginatum;26;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
Piper_arboreum;51;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M42;11;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Vismia_guianensis;35;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M44;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Piper_sp5;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M46;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M47;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Piper_sp4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solanum_rugosum;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solanum_americanum;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Piper_caldense;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M52;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M53;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Piper_sp2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M55;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fabaceae_sp1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fabaceae_sp2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M58;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M59;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Piper_sp3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solanum_sp;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Piper_sp1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
