sp,Carollia_perspicillata,Rhinophylla_pumillo,Artibeus_fimbriatus,Artibeus_lituratus,Artibeus_cinereus,Trachops_cirrhosus,Artibeus_planirostris,Artibeus_obscurus,Glossophaga_soricina,Plathyrrinus_lineatus,Trinycteris_nicefori,Phyllostomus_elongatus,Chiroxiphia_pareola,Pipra_rubrocapilla,Manacus_manacus,Saltator_maximus,Turdus_albicollis,Dysithamnus_mentalis,Euphonia_violacea,Tangara_cayana
Piper_marginatum,0.05726872246696035,0,0,0,0.004405286343612335,0,0,0.0022026431718061676,0,0,0,0.004405286343612335,0,0,0,0,0,0,0,0
Piper_arboreum,0.11233480176211454,0,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M42,0.024229074889867842,0.004405286343612335,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0
Vismia_guianensis,0.07709251101321586,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M44,0.019823788546255508,0.004405286343612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper_sp5,0.015418502202643172,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M46,0.013215859030837005,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M47,0,0.0022026431718061676,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0,0,0
Piper_sp4,0.0022026431718061676,0,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanum_rugosum,0.022026431718061675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanum_americanum,0.01762114537444934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper_caldense,0.013215859030837005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M52,0.011013215859030838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M53,0.011013215859030838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper_sp2,0.00881057268722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M55,0.00881057268722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabaceae_sp1,0.006607929515418502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabaceae_sp2,0.004405286343612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M58,0.004405286343612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M59,0,0.004405286343612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper_sp3,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanum_sp,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper_sp1,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passifloraceae,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M64,0,0,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanaceae,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M66,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M67,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clidemia_debilis,0,0,0,0,0,0,0,0,0,0,0,0,0.015418502202643172,0.00881057268722467,0.004405286343612335,0.0022026431718061676,0,0,0,0
M6,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0
Miconia_sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0
M24,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0.004405286343612335,0,0,0,0,0
Vismia_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0
M2,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0.0022026431718061676,0,0,0
Schefflera_morototonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0.0022026431718061676,0,0,0
Miconia_sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0
Miconia_prasina,0,0,0,0,0,0,0,0,0,0,0,0,0.006607929515418502,0,0,0,0,0,0,0
Poaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0
M11,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0
M5,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0
M3,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0
Fabaceae_sp3,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0
M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0
M15,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0
M17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0
M18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0
Melastomataceae2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0
M21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0
M25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0
M36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0
M39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0
Cecropia_pachystachya,0.06828193832599119,0,0.0022026431718061676,0.004405286343612335,0,0.0022026431718061676,0.004405286343612335,0,0.0022026431718061676,0.0022026431718061676,0,0,0.006607929515418502,0,0,0.006607929515418502,0,0,0,0
Ficus_gomelleira,0.0022026431718061676,0,0.011013215859030838,0.004405286343612335,0.006607929515418502,0,0.011013215859030838,0.004405286343612335,0,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0.0022026431718061676
Piper_aduncum,0.2356828193832599,0,0,0.0022026431718061676,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0.0022026431718061676,0,0,0,0,0.0022026431718061676,0,0,0,0
Clidemia_hirta,0.0022026431718061676,0.004405286343612335,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0,0,0,0,0,0,0
Melastomataceae,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0
