sp,Carduelis_chloris,Coccothraustes_coccothraustes,Columba_palumbus,Corvus_coronecorone,Erithacus_rubecula,Ficedula_hypoleuca,Fringilla_coelebs,Garrulus_glandarius,Parus_caeruleus,Parus_major,Parus_montanus,Parus_palustris,Passer_domesticus,Passer_montanus,Phoenicurus_ochruros,Phoenicurus_phoenicurus,Phylloscopuscollybita,Pica_pica,Pyrrhula_pyrrhula,Sitta_europaea,Sturnus_vulgaris,Sylvia_atricapilla,Sylvia_borin,Sylvia_communis,Sylvia_curruca,Turdus_iliacus,Turdus_merula,Turdus_philomelos,Turdus_pilaris,Turdus_torquatus,Turdus_viscivorus
Amelanchier_lamarckii,3.762227238525207e-4,0.0030097817908201654,7.524454477050414e-4,0,0,0,7.524454477050414e-4,0,9.405568096313017e-4,1.8811136192626034e-4,0,0,0.039503386004514675,0.0015048908954100827,0,0,0,0,0,0,0,0.004514672686230248,0.0028216704288939053,0,1.8811136192626034e-4,0,0.0208803611738149,0,0.008653122648607976,0,0
Cornus_sanguinea,0,1.8811136192626034e-4,0,0,0.0056433408577878106,7.524454477050414e-4,0,0,0.002069224981188864,7.524454477050414e-4,0,0.0015048908954100827,0,0,3.762227238525207e-4,0,0,0,0,0,0,0.004138449962377728,0,0,0,0,1.8811136192626034e-4,5.64334085778781e-4,0.0028216704288939053,0,0
Crataegus_laeviagta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010158013544018058,0,0,0,0
Crataegus_monogyna,0,1.8811136192626034e-4,0,0,1.8811136192626034e-4,0,1.8811136192626034e-4,0,1.8811136192626034e-4,1.8811136192626034e-4,0,0,0,0,0,0,0,0,3.762227238525207e-4,0,0,0,0,0,0,0.006583897667419112,0.006395786305492852,1.8811136192626034e-4,0.004514672686230248,0,0
Euonymus_europaea,0,0,0,0,7.524454477050414e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragaria_vesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002257336343115124,0,0,0,0
Frangula_alnus,0,0,0,0,0.004890895410082769,0,0,0,1.8811136192626034e-4,0,0,0,0,0,0,0,0,0,3.762227238525207e-4,0,0,0.008276899924755455,0.0018811136192626034,0,0,0,9.405568096313017e-4,1.8811136192626034e-4,0,0,0
Hedera_helix,0,0,0,0,0.0013167795334838223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025959367945823927,0,0,0,0,0.011662904439428141,0.004890895410082769,0,0,0
Ligustrum_vulgare,0,0,0,0,0.0018811136192626034,0,0,0,1.8811136192626034e-4,0,0,0,0,0,0,0,0,0,0.0015048908954100827,0,0,0,0,0,0,0,0.0028216704288939053,0,3.762227238525207e-4,0,0
Lonicera_xylosteum,0,0,0,0,0,0,0,0,0,0,7.524454477050414e-4,9.405568096313017e-4,0,0,0,0,0,0,0,0,0,0.010158013544018058,7.524454477050414e-4,0,0,0,3.762227238525207e-4,3.762227238525207e-4,0,0,0
Malus_domestica,0,0,0,0,0.001693002257336343,0,0.001128668171557562,0.0030097817908201654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020504138449962378,0,0.019563581640331076,0,0
Prunus_avium,0,0.0024454477050413845,0,0.004514672686230248,0,0,0,0.0056433408577878106,0.0015048908954100827,3.762227238525207e-4,0,0,0,0,0,0,0,9.405568096313017e-4,0,0,0.020127915726109856,0.0015048908954100827,0.0030097817908201654,0,0,0,0.013920240782543265,9.405568096313017e-4,3.762227238525207e-4,0,0.030662151993980435
Prunus_domestica,0,0,0,0,1.8811136192626034e-4,0,0,5.64334085778781e-4,0.004138449962377728,0.0013167795334838223,0,5.64334085778781e-4,0.002257336343115124,0,0,0,1.8811136192626034e-4,0,0,1.8811136192626034e-4,0,0,0,0,0,0,5.64334085778781e-4,0,0,0,0
