sp,Tangara_xanthocephala,Mionectes_striaticollis,Catharus_ustulatus,Aulacorhynchus_coeruleicinctis,Anisognathus_somptuosus,Tangara_vassorii,Eubucco_versicolor,Chiroxiphia_boliviana,Chlorospingus_ophthalmicus,Pyrrhura_molinae,Thraupis_cyanocephala,Pionus_sordidus,Euphonia_xanthogaster,Chlorophonia_cyanea,Penelope_montagnii,Diglossa_cyanea,Psarocolius_decumanus,Pipreola_intermedia,Thraupis_sayaca,Columba_fasciata,Pipreola_frontalis,Pheucticus_aureoventris,Turdus_albicollis,Entomodestes_leucotis,Columba_plumbea,Hapalopsittaca_melanotis,Lipaugus_uropygialis,Anisognathus_igniventris,Parula_pitiayumi,Phyllomyias_uropygialis,Pionus_tumultuosus,Elaenia_obscura,Elaenia_pallatangae,Cyanocorax_cyanomelas,Cyanocorax_yncas,Aratinga_mitrata,Atlapetes_rufinucha,Thraupis_palmarum,Trogon_personatus,Turdus_serranus,Veniliornis_nigriceps
Clusia_trochiformis,0.04177545691906005,0.0783289817232376,0.05221932114882506,0,0.020887728459530026,0.005221932114882507,0.04699738903394256,0.007832898172323759,0.007832898172323759,0.015665796344647518,0.0026109660574412533,0,0.005221932114882507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0
Ficus_americana,0.03655352480417755,0,0.018276762402088774,0.013054830287206266,0.0026109660574412533,0.005221932114882507,0.0026109660574412533,0.013054830287206266,0.013054830287206266,0.0026109660574412533,0,0.020887728459530026,0.018276762402088774,0.020887728459530026,0.005221932114882507,0,0.0026109660574412533,0.015665796344647518,0.0026109660574412533,0,0.0026109660574412533,0,0.005221932114882507,0,0.005221932114882507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_cordata,0,0,0,0,0.020887728459530026,0.020887728459530026,0.005221932114882507,0.020887728459530026,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0
Clusia_lechleri,0.005221932114882507,0.031331592689295036,0,0,0,0,0,0,0.005221932114882507,0,0.005221932114882507,0,0,0,0,0.015665796344647518,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieronyma_laxiflora,0.02349869451697128,0,0,0.0026109660574412533,0.005221932114882507,0,0.005221932114882507,0.007832898172323759,0.005221932114882507,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0.005221932114882507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clusia_sphaerocarpa,0,0,0,0.005221932114882507,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0.005221932114882507,0.0026109660574412533,0.015665796344647518,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0.0026109660574412533
Eugenia,0.0026109660574412533,0,0,0.010443864229765013,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0.005221932114882507,0,0,0,0,0,0.0026109660574412533,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0.0026109660574412533,0
Cecropia,0.0026109660574412533,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0.005221932114882507,0,0,0,0.010443864229765013,0.0026109660574412533,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0
Miconia_hygrophila,0,0,0,0,0.005221932114882507,0,0,0,0.010443864229765013,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0
Sapium,0,0,0,0,0,0.0026109660574412533,0,0,0,0.010443864229765013,0,0,0,0,0,0,0,0,0,0,0,0.007832898172323759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thibaudia_crenulata,0,0,0,0,0.005221932114882507,0.0026109660574412533,0,0,0,0,0.0026109660574412533,0,0,0,0,0.0026109660574412533,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_brittonii,0,0,0,0,0.0026109660574412533,0.013054830287206266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedyosmum_angustifolium,0,0,0,0.007832898172323759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005221932114882507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symplocos_arechea,0,0,0,0.007832898172323759,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0
Dictyocaryum_lamarckianum,0,0,0,0.0026109660574412533,0,0,0,0,0,0.007832898172323759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freziera_lanata,0.007832898172323759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0
Prumnopitys,0,0,0,0.0026109660574412533,0.0026109660574412533,0,0,0,0,0.0026109660574412533,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieronyma_moritziana,0.0026109660574412533,0,0,0,0,0.005221932114882507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inga_fendleriana,0,0,0,0,0,0,0,0,0,0,0,0.005221932114882507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0
Myrsine_coriaceae,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0.005221932114882507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_boliviensis,0,0,0,0,0,0.005221932114882507,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrophthora_macbridei,0,0,0,0,0,0.005221932114882507,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedyosmum_racemosum,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0
Viburnum_seemenii,0,0.0026109660574412533,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandra_caracasana,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepismium_bolivianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_plumifera,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mollinedia_steinbachiana,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palicourea_attenuata,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persea_bilocularis,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanum,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatteria_glauca,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symplocos_colorata,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea_triplinervia,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antidaphne_viscoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beilschmiedia_tovarensis,0,0,0,0.0026109660574412533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
