ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
301,0.0037977694256849013,4.858005221576298e-5,0.008917643096991971,1.6793310849138727e-5,4.1312755049533984e-5,2.8879851669323225e-4,6.129475274060311e-4,0.013645856442097832,8.768920338017808e-4,0.0022410497879404843,5.527997515721669e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0.0043386167302040726,8.18640535445522e-5,0.006108735742301409,0,7.558067190197768e-4,3.647121878891439e-4,0,0.012429175938176293,0,0.004607948054539959,1.2975988046695153e-4,8.677612832976298e-4,1.1087828456863694e-4,4.657081312372033e-5,1.962621645087913e-4,0.0015193557508858175,1.8948917038131552e-4,1.7403683105753128e-5,0,0,0,0,0,0,0,0,0
303,0.006449785676009577,0,0.0036671163067891785,0,0,1.2703845344516819e-4,1.6019978836863188e-4,0.002392195088500964,1.336211674966953e-4,0,0,0,5.292527869954711e-5,0,0,4.729135066222447e-4,7.217879323386081e-5,0,0,0,0,0,0,0,0,0,0
304,0.010160820235025713,8.245673813472458e-5,0.015921321196150688,4.085638507105143e-5,1.516248678815249e-4,0.0029076181659224015,4.8648827722425563e-4,0.02575853675263123,5.863418212712115e-4,0.01320890050888417,0,3.745738173660299e-4,5.178770672587191e-4,1.355035886804185e-4,1.3781025838931568e-4,0.0022850617421346932,7.196509231307009e-4,0,1.5476490224263393e-4,4.088981723323593e-4,6.268904512091079e-5,0,0,0,0,0,0
305,0.004793859963990346,0,7.146272680466372e-4,0,0,0,0,0.0036022661237461767,0,0,9.461573815344845e-6,0,0,0,0,3.193304456312236e-4,0,0,0,0,0,0,0,0,0,0,0
306,0.0043612253363996,2.8620593640776815e-5,0.005024196878224114,0,0,0,2.0170733578801648e-4,0.007464879706346647,0,4.319949583176432e-4,0,1.6654016047234184e-4,7.039970623834794e-5,9.40169048185322e-5,0,0.002421083355198398,1.1736645679480203e-4,0,0,0,0,0,0,0,0,0,0
307,0.003362850828285517,0,0.0029691977164810375,0,2.9505326195749197e-5,0,0,0.0014293466872880283,0,2.7133580890055346e-4,0,0,0,1.2604040709246932e-5,0,0.0010875157907507603,0,0,0,0,0,0,0,0,0,0,0
308,0.006727688068931249,0,0.010171598527283372,0,0,1.8151653150332885e-4,0,0.004478241292938763,3.852927719357268e-4,0,2.5954548651222547e-5,0,0,0,0,8.09259181206118e-4,0,0,0,0,0,0,0,0,0,0,0
309,0.00316553135133072,2.2423497803736626e-5,0.005376577625493448,0,3.880528951895915e-5,1.1504737052712817e-4,1.1941261491985408e-4,0.002033766627385655,1.3112129633095133e-4,2.7568278327149624e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0.003899552209415016,0,0.0021746563282463195,0,2.8893784275521628e-5,1.4763927779829538e-4,0,0.0054448085020282104,1.349004609621111e-4,2.909396954607342e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
