ind,Chloris_chloris,Erithacus_rubecula,Sylvia_melanocephala,Cyanopica_cooki,Phoenicurus_phoenicurus,Sylvia_atricapilla,Luscinia_megarhynchos,Sylvia_undata,Columba_palumbus,Fringilla_coelebs,Hippolais_polyglotta,Turdus_philomelos,Turdus_merula,Sylvia_cantillans,Saxicola_rubicola,Sylvia_communis
341,0.01353522862944004,0.004635391391817465,0.0060120583291088684,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0.012714031944885877,0.004663816487068336,0.005802538737506492,0.002042211155361539,3.916372062247185e-4,0,0,0,0,0,0,0,0,0,0
343,0,0.004064808335880521,8.572199843266168e-4,0,0,0,1.084541817343676e-5,0,0,0,0,0,0,0,0,0
344,0.0027902193677304707,0.004653323173386766,0.002551417627997522,0,0,3.4754075776468463e-4,0,4.167367432909319e-4,0,0,0,0,0,0,0,0
345,0.0029226935937055535,0.0022121127325343956,0.0018204729643067957,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0.009608089211743961,0.032060523413895446,0.022721084831682805,0,6.293075816189152e-4,0,0,0,0,0,0,0,0,0,0,0
347,0.0012268511428316581,6.695474196119785e-4,3.835095089606089e-4,0,0,0,0,0,3.2583382168802495e-4,4.708867237676928e-6,0,0,0,0,0,0
348,0.005428034513509563,0.009427136398162315,0.009757441567746133,0,0,0,0,0,0,0,3.882906797428953e-5,0,0,0,0,0
349,0,0.006397880728727818,0.0020019552608783733,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0.004325580616846373,0.018401676502970074,0.004796924149417446,0,3.055196060421944e-4,0,0,6.233686328427991e-4,0,0,0,0,0,0,0,0
351,0.00253696790098204,0.0027602356110061543,9.565831034869912e-4,0,0,0,0,1.0770214898100954e-4,0,0,0,0,0,0,0,0
352,0,0.030489516092897274,0.008338746266583291,0.006862582580386109,0,0,0,0,0,0,0,0.0012703416011562614,0,0,0,0
353,0.0017616820362232988,0.0034413409526420015,0.0016025457399548363,0,0,0,0,1.0325032027175992e-4,0,0,0,0,1.214149977455993e-4,0,0,0
354,0.056279477377490714,0.027745758094094176,0.004071091542643392,0,0,0,0,0,0,0,0,0,0,0,0,0
355,9.307223651363336e-4,0.0017913338634271859,0,0,0,0,0,0,0,0,0,0,0,4.1528121911216154e-6,0,0
356,0,4.3689330339134936e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,8.644925207964688e-4,4.3077957290275286e-4,0,3.117186600107595e-5,0,0,0,0,0,0,0,0,0,0,0
358,0,0.0039893245370933375,0,3.148736182244239e-4,2.1871880392460236e-4,0,0,0,0,0,0,0,0,0,0,0
359,0.011597465524157215,0.007169332267467747,0.0015650962485314497,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0.005580562012149771,0.006669527253463566,0.004806337897506711,0,0,2.1841584944823548e-4,0,0,0,0,0,0,0,0,0,0
361,0,0.0019555952106920767,0.0018225214844376002,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0.008361806558641743,0.0023686441915179344,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0.10317251764747801,0.02825563287103969,0.04758153477826519,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0.0400206712499569,0.04496186048282522,0.028046910549423158,0.012205044441830192,0,0,0,0,0,0,0,0.0017637731702714265,0.01147243627153312,0,0,0
365,0,0.019168826642459155,0.008890198792960172,0.03998506899848462,7.43140115366411e-4,0,0,0,0,0,0,0,0,0,0,0
366,0.014629949812704312,0.009759702430852541,0.008158245496764206,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0.038332067506711955,0.004730724880232424,0.004154792886944113,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0.002657097817565967,0.0013619356089089446,3.491679365445256e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0.005089836937611266,0.0016751541828956165,0,1.7332628773193465e-4,0,0,0,0,0,0,0,0,0,0,0
370,0.003031798742508134,0.0034363141313107897,0.0016831010911038042,0,1.4417798480679666e-4,0,0,0,0,0,0,0,0,0,0,0
371,0,0.0037822396397688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0.001935277784376656,4.2011530308401886e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0.0020171241983838405,5.576049896226294e-4,4.3983764472091375e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,1.323669422041813e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
375,5.885100047971816e-4,0.0011553703267014822,2.2346520775673575e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0.006437535611460834,0.0013492226410573125,7.883311951408232e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
378,8.2780581056576e-4,0.0017994948634073244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,0.014613926374525295,0.022623665632195294,0.006235638714919045,0,0,0,0,0,0,0,0,0,0,0,2.2958737825768603e-4,1.2065193673681302e-4
380,0.009061071765741911,0.013256686912392446,0.003128932948547078,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0.006654905783174692,0.0024698301979231307,0.0019923152540238503,0,0,0,0,1.434969978319155e-4,0,0,0,0,1.9373898108049378e-4,0,3.1127659963896095e-5,0
