ind,Parus_caeruleus,Regulus_ignicapillus,Turdus_philomelos,Parus_major,Sylvia_atricapilla,Fringilla_coelebs,Erithacus_rubecula,Turdus_merula,Turdus_iliacus,Phylloscopus_collybita,Ficedula_hypoleuca,Sitta_europaea,Parus_cristatus,Sylvia_borin,Certhia_brachydactyla,Aegithalos_caudatus,Garrulus_glandarius
17,0.045390184242753,4.2820928530899055e-4,0.004649129383354755,0,0.0042820928530899055,0,0.010113895500631397,0.022266882836067505,0,4.2820928530899055e-4,0.0025692557118539433,0,0.0038538835677809154,0,0.0012846278559269714,0.0042820928530899055,0
8,0.09362631327402114,0.0012516886801339723,0,0,0.0018775330202009592,0,0.004130572644442109,0.02503377360267945,0,0,6.258443400669863e-4,0,0.0012516886801339723,0,6.258443400669863e-4,0.00500675472053589,0
10,0.1169392278137409,0.00794864886329975,0.008991722763411395,0.0066032964043802435,0.03205429956710435,0.004704476161728026,0.014717985602799806,0.04684466172623843,0.018264436863179398,0.008991722763411395,6.258443400669863e-4,0.0013559960701451368,0,0,0,0,0.0012516886801339723
13,0.00889281143676578,0.004067988210435411,0,7.5683501589496e-4,0.00151367003178992,0,0.004067988210435411,0.00151367003178992,0.04238276089011777,0,0,0.004067988210435411,0,0,0,0,0
12,0.0019924840214377523,0,0,0,0,0,0,0,0,0.0039849680428755046,0,0,0,0,0,0,0
25,0.013017562273393315,0,0.0016271952841741644,0,0.024407929262612465,0,0.007692195888823323,0,0,0.004437805320474994,0,0,0,0,0,0,0
189,0.08723574717933712,0,0,0,0,9.039973800967579e-4,0,0,0,0,0,9.039973800967579e-4,0.0013559960701451368,0,0,0,0
9,0.0020339941052177055,6.779980350725684e-4,0.0013559960701451368,0,0.01152596659623366,0,0,0.0027119921402902736,0,0.006779980350725684,0,0,0,0,0,0,0
35,0.004067988210435411,0,0,0.0013559960701451368,0.010847968561161095,0,0.009491972491015955,0.04339187424464438,0,0,0,0,0,0.0027119921402902736,0,0,0
465,0.0027119921402902736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0.012203964631306232,0,0.01139036698921915,0.004067988210435411,0,0,0,0,0,0,0,0,0
69,0.008135976420870822,0,0,0,0.018305946946959348,0,0.020339941052177055,0.04271387620957181,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0.008135976420870822,0,0,0,0,0,0,0,0,0,0
31,0.005423984280580547,0.003050991157826558,0,0,0,0,0,0.007457978385798252,0,0,0,0,0,0,0,0,0
4,0.0032543905683483287,0,0.0032543905683483287,0,0.0016271952841741644,0,0.0029585368803166628,0.005695183494609576,0,8.135976420870822e-4,0,0,0,0,0,0,0
2,8.135976420870822e-4,0,0,0,0.012203964631306232,0,0,0,0,0.0032543905683483287,0,0,0,0,0,0,0
30,0,0,0,0,0.004067988210435411,0,0,0,0,0,0,0,0,0,0,0,0
34,0.004067988210435411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
