ind,Columba_palumbus,Garrulus_glandarius,Turdus_merula,Phoenicurus_ochruros,Erithacus_rubecula,Parus_ater,Fringilla_coelebs,Sylvia_conspicillata,Sylvia_atricapilla,Turdus_viscivorus,Sylvia_communis,Sylvia_melanocephala,Sylvia_borin,Parus_caeruleus,Phoenicurus_phoenicurus,Parus_cristatus,Parus_major,Sylvia_cantillans,Sitta_europaea,Dendrocopos_major
1933,0,0.001037873175013705,0.001556809762520558,0.005745369361683011,0.0012973414687671315,0.005578568315698665,0.012788080192133153,5.189365875068525e-4,0.001816278056273984,0.0046704292875616735,0.0020386794509197784,5.189365875068525e-4,7.78404881260279e-4,5.189365875068525e-4,5.74536936168301e-4,0,9.452059272446244e-4,0,0,0
1931,0,5.189365875068525e-4,2.594682937534263e-4,0.018718784049354325,7.78404881260279e-4,0.0028170843321800565,0.013622085422054881,5.189365875068525e-4,5.189365875068525e-4,5.189365875068525e-4,0.003243353671917829,0,0,6.301372848297495e-4,0.004040292002731923,7.78404881260279e-4,0.001260274569659499,3.1506864241487477e-4,0,0
1932,0,5.74536936168301e-4,7.78404881260279e-4,0.010008062759060729,0,0.005671235563467746,0.00898872303360084,0,0,2.594682937534263e-4,5.189365875068525e-4,3.1506864241487477e-4,0,0,0.0018904118544892487,0,8.896055785831761e-4,3.1506864241487477e-4,0,0
1934,0,3.1506864241487477e-4,0,0.0025932572875685847,0,0.0026902014852346998,0.0019873560521553642,0,0,0,0,0,0,0,6.301372848297495e-4,6.786093836628072e-4,0,0,0,0
1936,0,0,5.601220309597774e-4,0.001435312704334429,6.301372848297495e-4,0,3.1506864241487477e-4,0,0,0,8.751906733746521e-4,0.0011902593157895268,0,0,0,0,0,3.1506864241487477e-4,0,0
1937,0,0,0.005946920625580761,0.006183222107391917,0.0016541103726780927,0.00122089098935764,0.004292810252902669,0,3.1506864241487477e-4,0,0.00728596235584398,9.05822346942765e-4,0,0.00362328938777106,0.002166096916602264,0,0,8.664387666409058e-4,0,0
1938,0,0,0.002363014818111561,0.0037020565483747788,0.0035051386468654823,0.0011815074090557804,0.0029537685226394515,0,8.664387666409058e-4,2.7568506211301543e-4,0.008034250381579308,0.002166096916602264,0,0.00244178197871528,0.001575343212074374,0,0.0011815074090557804,0.0011815074090557804,0,0
1939,0,0,0.004410960993808247,0.002100457616099165,0.007141555894737162,0.002835617781733873,0.018168958379257784,0,3.1506864241487477e-4,0,0.004410960993808247,3.1506864241487477e-4,0,0.001995434735294207,0,3.1506864241487477e-4,0,3.1506864241487477e-4,3.1506864241487477e-4,0
1940,0,0,0.0011027402484520617,0.004095892351393372,0.00795548322097559,9.05822346942765e-4,0.011381854707237352,0,0.0018510282741873896,0,8.270551863390463e-4,0.00122089098935764,0,0.0022054804969041234,3.1506864241487477e-4,3.1506864241487477e-4,0,0,0,0
1921,2.7568506211301543e-4,5.513701242260309e-4,0.0010776779700781515,0.021177625225954365,0,0,0.009849475400946824,0,2.7568506211301543e-4,0,9.523665782085988e-4,0,0,5.513701242260309e-4,0.011954706784355305,0,0,0,0,0
1823,0,0.012350690782663092,0.007057537590093196,0.018967132273375466,0.007939729788854844,0.026465765962849483,0.07366304859659772,0,0.001764384397523299,0.0785151056897868,0,0,0,0.011468498583901443,0.001764384397523299,0,0.003087672695665773,0,0.003969864894427423,0.003087672695665773
1824,0,4.4109609938082473e-4,0.010586306385139795,0.018967132273375462,0.004410960993808247,0.003528768795046598,0.019849324472137112,0,8.821921987616495e-4,0.03087672695665773,0,0,0,0.004852057093189072,0.001323288298142474,0,0,0,0,0
1820,0,0.006175345391331546,0.0014703203312694155,0.03308220745356185,0.0014703203312694155,0.002940640662538831,0.05734249291950721,0,0,0.014703203312694155,0,0,0,0,4.4109609938082473e-4,0,0,0,0,0
1825,0,0.001782206462144746,4.00996453982568e-4,0.012475445235013224,0.0014703203312694155,0.004366405832254628,0.035421353435126826,0,0,0.005836726163524044,0,0,0,4.901067770898052e-4,8.91103231072373e-4,8.01992907965136e-4,4.00996453982568e-4,0,0.0022723132392345516,0
1929,0,0,0,0.002731788342756244,0,0,2.7568506211301543e-4,0,0,0,0.0015037367024346299,0,0,0,8.01992907965136e-4,0,0,0,0,0
8801,0,0.0010586306385139792,7.057537590093195e-4,0.02343916811171336,0.0024226354996762216,0.0036373462964326467,0.008190815260810082,0,0,0.004234522554055917,0.005564596946035019,0,1.7643843975232988e-4,0.005768179761133862,0.0022936997167802885,1.7643843975232988e-4,6.989676651726914e-4,0.004702763028783253,0,0
8808,0,0.001404721424182011,8.48261729578509e-4,0.0013707909549988708,0.0012011386090831687,0.00570031882276758,0.004098800677323356,0,1.6965234591570183e-4,0.005781751948807118,8.48261729578509e-4,0,1.6965234591570183e-4,3.5287687950465976e-4,5.293153192569896e-4,1.7643843975232988e-4,0,3.3930469183140365e-4,3.3930469183140365e-4,0
8814,1.6965234591570183e-4,7.057537590093195e-4,0.004315955680095454,0.00548994991383211,0.013402535327340443,8.55047823415137e-4,5.157431315837335e-4,0,0,1.7643843975232988e-4,0.0013979353303453829,0,1.7643843975232988e-4,1.7643843975232988e-4,0,0,0,1.7643843975232988e-4,1.7643843975232988e-4,0
8865,0,0,8.754061049250214e-4,0.007987232445711243,5.293153192569896e-4,0.007071109777766451,0.002409063312002966,0,0,0.0015811598639343411,0.0022054804969041234,0,3.4609078566803173e-4,0.004180233803362892,0.0012214968905930532,0,0,1.6965234591570183e-4,0.0012011386090831687,0
