ind,Coereba_flaveola,Tachyphonus_coronatus,Tangara_cyanocephala,Thraupis_ornata,Thraupis_palmarum,Melanerpes_flavifrons,Dacnis_nigripes,Pionus_maximiliani,Pyrrhura_frontalis,Aburria_jacutinga,Euphonia_chalybea,Brotogeris_tirica,Tangara_desmaresti,Thraupis_cyanoptera,Trogon_viridis,Turdus_flavipes,Baryphthengus_ruficapillus,Hemithraupis_ruficapilla,Dacnis_sp.,Forpus_xanthopterygius,Saltator_similis,Turdus_rufiventris,Chlorophonia_cyanea,Tangara_seledon,Selenidera_maculirostris,Cissopis_leverianus,Cacicus_chrysopterus,Chlorophanes_spiza,Euphonia_violacea,Tityra_inquisitor,Dacnis_cayana,Orthogonys_chloricterus,Tangara_preciosa,Tityra_cayana,Cyclarhis_gujanensis,Euphonia_cyanocephala,Trogon_surrucura
C1,0.004484304932735426,0.004484304932735426,0.006726457399103139,0.002242152466367713,0.017937219730941704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,0,0,0,0,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11,0,0,0.008968609865470852,0,0,0,0.008968609865470852,0.004484304932735426,0.04035874439461883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,0.004484304932735426,0,0,0,0,0,0,0,0,0.002242152466367713,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13,0.006726457399103139,0,0,0.008968609865470852,0,0,0,0,0.011210762331838564,0,0,0.006726457399103139,0.002242152466367713,0.002242152466367713,0.006726457399103139,0.006726457399103139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14,0,0,0,0.002242152466367713,0,0,0,0,0,0,0,0,0.002242152466367713,0,0,0.004484304932735426,0.002242152466367713,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15,0,0,0,0.013452914798206279,0,0.002242152466367713,0,0,0.002242152466367713,0,0,0.004484304932735426,0,0,0,0,0,0,0.006726457399103139,0.002242152466367713,0.002242152466367713,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C16,0.008968609865470852,0,0,0.013452914798206279,0,0,0,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004484304932735426,0.004484304932735426,0,0,0,0,0,0,0,0,0,0,0,0,0
C17,0.002242152466367713,0,0,0,0,0,0,0,0.006726457399103139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004484304932735426,0,0,0,0,0,0,0,0,0,0,0,0,0
C18,0.013452914798206279,0,0,0.020179372197309416,0,0,0,0,0.008968609865470852,0,0,0.008968609865470852,0,0,0,0,0,0,0,0,0,0,0.008968609865470852,0.008968609865470852,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0
C19,0,0,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0.04708520179372197,0,0,0,0,0.002242152466367713,0,0.002242152466367713,0,0,0.013452914798206279,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0.011210762331838564,0.002242152466367713,0.002242152466367713,0,0,0,0,0,0,0,0
C20,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002242152466367713,0,0,0,0.002242152466367713,0,0,0,0,0,0,0
C21,0.002242152466367713,0,0,0.013452914798206279,0,0,0,0,0,0,0,0,0,0.004484304932735426,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0.002242152466367713,0,0,0,0,0.002242152466367713,0,0,0,0,0,0
C22,0,0.002242152466367713,0,0.01569506726457399,0,0,0,0,0,0,0.004484304932735426,0.03587443946188341,0,0,0,0.004484304932735426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C23,0,0,0,0.008968609865470852,0,0,0,0,0,0,0.002242152466367713,0.004484304932735426,0,0.004484304932735426,0,0,0,0,0,0.004484304932735426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C24,0,0,0,0.004484304932735426,0,0,0,0,0,0,0.004484304932735426,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002242152466367713,0.004484304932735426,0.002242152466367713,0.002242152466367713,0,0,0
C25,0.004484304932735426,0,0,0.01569506726457399,0.11210762331838565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0
C28,0.006726457399103139,0,0,0.004484304932735426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020179372197309416,0.004484304932735426,0,0.006726457399103139,0,0,0,0,0,0,0,0,0,0,0
C3,0.002242152466367713,0,0,0.03139013452914798,0,0,0,0,0.002242152466367713,0,0.002242152466367713,0,0,0.004484304932735426,0,0,0,0,0,0,0,0,0,0,0,0.002242152466367713,0.004484304932735426,0.002242152466367713,0,0,0,0,0,0,0,0,0
C4,0,0,0,0.008968609865470852,0,0.013452914798206279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013452914798206279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5,0.002242152466367713,0,0,0.02466367713004484,0,0.008968609865470852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002242152466367713,0,0,0,0,0,0,0,0,0.002242152466367713,0,0
C6,0,0,0,0.020179372197309416,0,0.02914798206278027,0,0,0,0,0,0.008968609865470852,0,0,0,0,0,0,0,0.02242152466367713,0,0.002242152466367713,0,0,0,0.008968609865470852,0,0,0,0,0,0,0,0,0.002242152466367713,0.002242152466367713,0
C7,0,0,0,0.013452914798206279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8,0,0,0,0.004484304932735426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002242152466367713
C9,0,0,0,0.008968609865470852,0,0.002242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006726457399103139,0,0,0,0,0,0,0,0,0,0,0
