ind,Ducula_badia,Gracula_indica,Iole_indica,Irena_puella,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Psilopogon_viridis,Pycnonotus_jocosus,Ratufa_indica,Rubigula_gularis
HETR01,0,0,0,0,0,0.0034242010863967122,0,0,0,0,0
HETR02,0,0.044514614123157256,0,0,0,0,0,0,0,0,0
HETR03,0,0.16436165214704218,0,0,0,0,0,0,0,0.004565601448528949,0
HETR05,0,0,0,0,0,0,0.02079474343965615,0,0,0,0
HETR06,0,0.03292501044612223,0,0,0,0,0,0.006585002089224446,0.006585002089224446,0,0
HETR07,0.003313742986835528,0.019882457921013164,0,0,0,0,0.003313742986835528,0.003313742986835528,0,0,0.003313742986835528
HETR08,0,0,0,0,0,0.006522287783612784,0,0,0,0,0
HETR09,0,0.006420377036993836,0.003210188518496918,0,0,0,0,0,0,0,0
HETR10,0,0.07631076706826959,0.002935029502625753,0.002935029502625753,0,0,0.011740118010503012,0.002935029502625753,0,0,0
HETR12,0,0,0,0.0034242010863967122,0,0,0,0,0,0.0034242010863967122,0
HETR13,0,0.003066448734086608,0,0,0,0,0,0.012265794936346433,0,0,0
HETR16,0,0.006627485973671056,0,0.006627485973671056,0,0,0,0.003313742986835528,0,0,0
HETR18,0,0,0,0,0,0,0.006321602005655468,0,0,0,0
HETR19,0,0,0,0,0.025681508147975343,0,0,0,0,0,0
HETR21,0,0.008385798578930724,0,0,0,0,0,0.012578697868396086,0,0.004192899289465362,0
HETR22,0.009783431675419178,0,0,0,0,0,0.006522287783612784,0.006522287783612784,0,0,0
HETR25,0,0,0,0,0,0,0.01191026464833639,0,0,0.0029775661620840975,0
HETR26,0,0.029714141658814443,0,0,0.008489754759661268,0,0,0.004244877379830635,0,0,0
HETR27,0,0.03313742986835527,0,0,0,0,0,0,0,0,0
HETR28,0,0.007609335747548249,0,0,0,0,0,0,0,0,0
HETR31,0.003313742986835528,0,0,0,0,0,0,0,0,0,0
HETR32,0,0,0,0.003951001253534669,0,0,0,0,0,0,0
HETR33,0,0.33839163677332224,0,0.004028471866349073,0,0,0,0,0,0,0
HETR35,0,0,0,0,0,0,0,0.0035918193213951527,0,0,0
