ind,Buceros_bicornis,Ducula_badia,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Ratufa_indica,Semnopithecus_johnii
MYDA01,0,0,0,0,0.006912914535887186,0,0
MYDA02,0,0,0,0,0.006284467759897443,0,0
MYDA03,0,0,0,0,0.028803810566196613,0,0
MYDA04,0,0,0.01728228633971797,0.0057607621132393224,0.028803810566196613,0,0
MYDA05,0,0,0,0,0,0,0.014401905283098307
MYDA08,0,0.01118594585095014,0,0,0.055929729254750704,0.02237189170190028,0.04474378340380056
MYDA09,0,0.006647033207583835,0,0,0,0,0
MYDA10,0,0.005666323390071465,0,0,0,0,0
MYDA11,0,0,0,0,0.006521617486686025,0,0
MYDA13,0.016511738541131814,0,0,0.022015651388175753,0.1871330367994939,0.03302347708226363,0
MYDA14,0,0,0,0,0.07354164399879987,0,0
MYDA15,0,0,0,0,0.027874655386641883,0.011149862154656753,0
MYDA16,0,0.006647033207583835,0,0,0.046529232453086836,0,0
MYDA17,0,0,0,0,0.0057607621132393224,0,0
MYDA18,0,0.014107988848749363,0,0,0,0,0
MYDA19,0.00559297292547507,0,0,0,0,0.00559297292547507,0
MYDA20,0,0,0,0,0.014165808475178662,0,0
MYDA21,0,0.011521524226478645,0,0,0.040325334792675256,0.0057607621132393224,0
MYDA23,0,0,0,0,0.028803810566196613,0,0
MYDA24,0,0,0,0,0.011521524226478645,0,0.0057607621132393224
MYDA25,0,0.018583103591094583,0,0,0.0061943678636981955,0,0.012388735727396391
MYDA27,0,0,0,0,0.007200952641549153,0,0
MYDA28,0,0,0,0,0.0057607621132393224,0,0
MYDA32,0.011521524226478645,0.0057607621132393224,0,0,0.03456457267943594,0.0057607621132393224,0.0518468590191539
MYDA33,0,0,0,0,0.0057607621132393224,0,0
