ind,Acridotheres_fuscus,Buceros_bicornis,Corvus_macrorhynchos,Dendrocitta_leucogastra,Ducula_badia,Funambulus_sublineatus,Geokichla_citrina,Gracula_indica,Hypsipetes_ganeesa,Iole_indica,Irena_puella,Myophonus_horsfieldii,Ocyceros_griseus,Oriolus_kundoo,Psilopogon_viridis,Pycnonotus_jocosus,Ratufa_indica,Rubigula_gularis,Semnopithecus_johnii,Sturnia_blythii,Turdus_simillimus
PEMA01,0,0,0,0,0,0,0,0.004005481597428087,0,0,3.641346906752806e-4,0,7.282693813505612e-4,0,0.003277212216077525,0,0,0,0,0,0
PEMA02,0,0,0,0,0,0,0,0.0047800091316657365,3.6769301012813357e-4,7.353860202562671e-4,0,0,7.353860202562671e-4,0,0.0025738510708969344,0,0,0,0,0,0
PEMA03,0,0,0,0,0,0,0,3.583547749502762e-4,0.0014334190998011047,0,0,0,0,0,0,0,3.583547749502762e-4,0,0,0,0
PEMA04,0,0,0,0,0,0,0,0.0016068577097414518,0,0,0,0,4.0171442743536294e-4,0,0,0,0,0,0,0,0
PEMA05,0,0,0,0,0,0,0,0.01292020077155062,0,0,0,0,3.4000528346185836e-4,0,0.007820121519622743,0.00204003170077115,0,0,0,0,0.00204003170077115
PEMA06,0,0,0,0,0,0,0,7.42643119140375e-4,0,0,0,0,0,0,0.00742643119140375,0.0033418940361316877,0,0,0,0,0
PEMA07,0,0,0,0,0,0,0,0.0015295630638121544,0,0,0,0,6.118252255248618e-4,0,0.0012236504510497236,0,0,0,0,0,0
PEMA08,0,0,0,0,0,0,0,7.5254502739558e-4,0,7.5254502739558e-4,0,0,0.00112881754109337,0,0.007149177760258009,0,0,0,0,0,0
PEMA09,0,0,0,0.0014804164473355673,0,0,0.0037010411183389176,0.013323748026020106,0,0.027017600163874105,0.0018505205591694588,0.0011103123355016755,3.7010411183389176e-4,0.005921665789342269,0.015544372697023455,0.02627739194020632,0,7.402082236677836e-4,0,0.00814229046034562,0.002590728782837243
PEMA10,0,0,0,0,0.0018061080657493919,0,0,0.00677290524656022,0,9.030540328746959e-4,4.5152701643734797e-4,0,0,0,0.004966797180810828,9.030540328746959e-4,0,0,0,4.5152701643734797e-4,0
PEMA11,0,0,0,3.641346906752806e-4,0,0,7.282693813505612e-4,3.641346906752806e-4,0,0.0047337509787786485,3.641346906752806e-4,0,0,0,0.0029130775254022447,0,7.282693813505612e-4,0,0,0,0
PEMA12,0,0,0,0,0,0,0,0.0016419164234085383,0,0.0036943119526692113,4.1047910585213456e-4,0,0,0,0.0036943119526692113,0,4.1047910585213456e-4,4.1047910585213456e-4,0,0,0
PEMA13,0,0,0,0,0,0,0,0.0026339075958845297,0,0.02295262333556519,3.7627251369779e-4,0,7.5254502739558e-4,0,3.7627251369779e-4,0,0,0,0,3.7627251369779e-4,0
PEMA14,0,0,0,0.0017501047148734416,4.375261787183604e-4,0,4.375261787183604e-4,0.0013125785361550813,0,0.020563730399762944,0.0017501047148734416,0,8.750523574367208e-4,0,0.004812787965901965,0.027564149259256706,0,0.006125366502057046,0,0.0026251570723101626,0
PEMA15,0,0,0,0,0,0,0.0011103123355016755,0.005181457565674486,0,0.08586415394546291,0,7.402082236677836e-4,0.0018505205591694588,0,0.010733019243182864,3.7010411183389176e-4,0,3.7010411183389176e-4,0,3.7010411183389176e-4,0
PEMA16,0,0,0,0.0016359674508599567,0.001090644967239971,0,0,0.011451772156019696,0,0.008179837254299781,0.004907902352579869,0,0.001090644967239971,0,0.031628704049959155,0.004907902352579869,0,0.002181289934479942,0,0.02181289934479942,0
PEMA17,0,3.664992016536915e-4,0,0,0,0,0,0.008429481638034905,7.32998403307383e-4,0,0,0,0.0010994976049610746,0,0.019790956889299344,7.32998403307383e-4,7.32998403307383e-4,0,0,0,0
PEMA18,0,0,0,0,0,5.250314144620325e-4,5.250314144620325e-4,0.0036752199012342274,0,0.0015750942433860975,0,0.0015750942433860975,5.250314144620325e-4,0,0.00787547121693049,0,5.250314144620325e-4,0,0,0,0
PEMA19,0,0,0,0,0,0,0,0.0018813625684889498,0.004233065779100137,0.004703406421222375,0,0,0,0,4.7034064212223746e-4,0.002822043852733425,0,0,0.004703406421222375,0,0
PEMA20,0,0,0,0,0,0,3.6064458181896803e-4,0,0.007934180800017296,0.007573536218198328,3.6064458181896803e-4,0,3.6064458181896803e-4,0,0.0010819337454569039,0,0.0010819337454569039,0,0,0,0
PEMA21,0,0,0,0,0,0,0,0,9.406812842444749e-4,0,0,0,0,0,0,0,0,0,0,0,0
PEMA22,0,0,0,0,0,0,7.377892425446864e-4,0.0055334193190851476,0,0.008484576289263893,0,3.688946212723432e-4,0,0,0.0014755784850893727,0.02065809879125122,0,0,0,0.0011066838638170296,0
PEMA23,0,0,0.0013385188234308735,0,0,0.0013385188234308735,0,0.008031112940585242,0,0.0017846917645744978,0.0013385188234308735,0.0013385188234308735,8.923458822872489e-4,0,0.015169879998883232,0.06871063293611816,4.4617294114362446e-4,8.923458822872489e-4,0,0.045063467055506075,0
PEMA24,0,0,0,0,0,0,0.0013332490642835077,0.006221828966656369,0,0.019554319609491447,0,4.444163547611693e-4,0,0,0.018665486899969105,0.005332996257134031,0,0,0.004444163547611692,0.0017776654190446773,0
PEMA25,0,0,0,0,0,0,0,0,0,0.004843111562446802,0,0,0,0,3.7254704326513863e-4,0,0,3.7254704326513863e-4,0,0,0
