ind,Pipreola_sp,Penelope_purpurascens,Baryphthengus_martii,Sciurus_granatensis,Rodentia_sp,Cephalopterus_penduliger,Ramphastos_sp,Pteroglossus_erythropygius,Aulacorhynchus_haematopygus
18-0001,0,0,0,0,0,0,0.014772592734135753,0.03249970401509866,0.035454222561925805
18-0008,0,0,0.0029545185468271506,0.0029545185468271506,0,0,0.005909037093654301,0.0029545185468271506,0
18-0010,0,0,0.0024173333564949414,0,0,0,0.004834666712989884,0.004834666712989884,0
18-0013,0,0,0.0024173333564949414,0,0,0,0,0.019338666851959535,0.004834666712989884
18-0020,0,0,0,0,0,0,0.002659066692144436,0,0
18-0021,0,0,0,0,0,0,0.0033238333651805447,0,0.0033238333651805447
18-0022,0,0,0.0061363077511025444,0,0,0,0.0327269746725469,0.014318051419239268,0
18-0027,0,0,0.05650516720806926,0.0033238333651805447,0,0,0,0,0
18-0035,0,0,0.014504000138969648,0,0,0,0,0,0
18-0053,0,0,0.008397052712035058,0,0,0,0.002799017570678353,0,0.03358821084814024
18-0063,0,0,0,0.0029545185468271506,0,0,0.005909037093654301,0.011818074187308602,0
18-0064,0,0,0.0029545185468271506,0.0029545185468271506,0,0,0.0029545185468271506,0.0029545185468271506,0
18-0065,0,0,0.011818074187308602,0.0029545185468271506,0.0029545185468271506,0,0.011818074187308602,0.020681629827790055,0.017727111280962903
18-0066,0,0,0.0029545185468271506,0,0.017727111280962903,0,0.017727111280962903,0.011818074187308602,0.008863555640481451
18-0067,0,0,0.0029545185468271506,0.0029545185468271506,0,0,0,0.011818074187308602,0.0029545185468271506
18-0069,0,0,0,0,0,0,0.0029545185468271506,0.008863555640481451,0
18-0070,0,0,0.010636266768577743,0.003545422256192581,0,0.0017727111280962905,0.008863555640481451,0.005318133384288872,0
18-0071,0.006647666730361089,0,0.026590666921444357,0,0,0.006647666730361089,0.006647666730361089,0.033238333651805445,0.019943000191083266
18-0072,0,0,0,0,0,0.0024173333564949414,0.0024173333564949414,0.012086666782474708,0
18-0073,0,0,0.001564156877732021,0,0,0,0,0.009384941266392126,0.001564156877732021
18-0074,0,0,0.0057493333884204014,0,0,0,0.011498666776840803,0.008624000082630602,0
18-0089,0,0,0.014841302467782896,0,0.002473550411297149,0,0.017314852879080047,0.01855162808472862,0
18-0103,0,0,0.013827146799151065,0.0010636266768577743,0,0,0.005318133384288872,0,0.0010636266768577743
18-0104,0,0,0.026590666921444357,0,0,0,0.006647666730361089,0.013295333460722179,0.033238333651805445
18-0105,0,0,0.0015194666812253918,0.0015194666812253918,0,0,0.0015194666812253918,0,0
18-0106,0,0,0.0024173333564949414,0,0,0,0.0024173333564949414,0,0
18-0113,0,0,0,0,0,0,0.0024173333564949414,0,0
18-0131,0,0,0.004834666712989884,0,0,0.0024173333564949414,0,0,0
18-0136,0,0,0.014504000138969648,0,0.026590666921444357,0,0,0.004834666712989884,0
18-0247,0,0.0010636266768577743,0.01276352012229329,0,0,0.0010636266768577743,0.01276352012229329,0.045735947104884295,0
18-0248,0,0,0.0017727111280962905,0,0,0,0.008863555640481451,0.0017727111280962905,0
