ind,Pycnonotus_cafer,Pycnonotus_luteolus,Pycnonotus_jocosus,Leptocoma_zeylonica,Dicaeum_erythrorhynchos,Pycnonotus_xantholaemus,Turdoides_affinis,Merops_orientalis,Orthotomus_sutorius,Lonchura_punctulata,Aegithina_tiphia
BURD01,0.09716529068760463,0,0,0,0,0,0,0,0,0,0
BURD02,0.030483228451013214,0,0,0,0,0,0,0,0,0,0
BURD03,0,0.03117602909762715,0.0051960048496045245,0,0,0,0,0,0,0,0
BURD04,0,0.05715605334564978,0.044454708157727604,0,0,0,0,0,0,0,0
BURD05,0,0.04000923734195485,0.0800184746839097,0.011431210669129955,0,0,0,0,0,0,0
BURD06,0,0.011431210669129955,0.011431210669129955,0.005715605334564978,0.005715605334564978,0,0,0,0,0,0
BURD07,0,0.0051960048496045245,0,0,0,0,0,0,0,0,0
BURD08,0,0.0051960048496045245,0,0,0,0,0,0,0,0,0
BURD09,0,0.01905201778188326,0.06985739853357197,0.025402690375844347,0.01905201778188326,0.01905201778188326,0.038104035563766514,0.006350672593961087,0.012701345187922174,0,0
BURD10,0.005715605334564978,0,0.011431210669129955,0.017146816003694935,0,0.011431210669129955,0.04572484267651982,0,0,0.02857802667282489,0
BURD11,0.005715605334564978,0.04000923734195485,0.017146816003694935,0,0,0,0,0,0,0,0
BURD12,0,0.005715605334564978,0,0,0,0,0,0,0,0,0
BURD13,0,0.005715605334564978,0.011431210669129955,0,0,0,0,0,0,0,0
BURD14,0.04000923734195485,0.03429363200738987,0.02286242133825991,0.005715605334564978,0.017146816003694935,0,0,0,0.005715605334564978,0,0.005715605334564978
BURD15,0,0,0.011431210669129955,0,0,0,0,0,0,0,0
