ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
ER002H,0.009302325581395349,0.004651162790697674,0.004651162790697674,0,0,0
ER007H,0.013953488372093025,0.009302325581395349,0.009302325581395349,0,0,0.004651162790697674
ER028H,0.004651162790697674,0,0,0,0.004651162790697674,0
ER033H,0.013953488372093025,0,0,0,0.004651162790697674,0
ER036H,0.0558139534883721,0.009302325581395349,0.004651162790697674,0,0,0.004651162790697674
ER037H,0,0.009302325581395349,0,0.009302325581395349,0,0
ER044H,0.03255813953488373,0.009302325581395349,0,0.004651162790697674,0,0
ER045H,0.04651162790697675,0.004651162790697674,0,0,0,0
ER047H,0.009302325581395349,0.004651162790697674,0,0,0,0
ER050H,0.009302325581395349,0.004651162790697674,0,0,0,0
ER052X,0.013953488372093025,0.023255813953488375,0.009302325581395349,0,0,0
ER053H,0.004651162790697674,0,0,0,0,0
ER061H,0.04651162790697675,0.009302325581395349,0,0,0,0.009302325581395349
ER067H,0.02790697674418605,0,0.013953488372093025,0,0.009302325581395349,0.013953488372093025
ER070H,0.018604651162790697,0,0.041860465116279076,0,0.009302325581395349,0
ER071M-H,0.009302325581395349,0,0,0,0,0
ER072H,0.023255813953488375,0,0,0,0,0
ER073H,0.04651162790697675,0,0,0,0,0
ER074M-H,0.03255813953488373,0,0,0,0,0
ER079H,0.051162790697674425,0.009302325581395349,0.04651162790697675,0,0,0.009302325581395349
ER080H,0.03255813953488373,0.023255813953488375,0.0558139534883721,0.004651162790697674,0,0.013953488372093025
ER085H,0.023255813953488375,0,0,0,0,0
ER086H,0.018604651162790697,0,0,0,0,0
ER090H,0.041860465116279076,0,0.004651162790697674,0,0,0
