ind,Elaenia_cristata,Elaenia_chiriquensis,Elaenia_obscura,Camptostoma_obsoletum,Schistochlamys_ruficapillus,Saltatricula_atricollis,Tangara_cayana,Mimus_saturninus,Zonotrichia_capensis
Mi1,0.017408604824670475,0,0,0,0.024869435463814964,0,0,0,0
Mi3,0.009947774185525985,0,0,0.007460830639144489,0.004973887092762992,0,0,0.002486943546381496,0
Mi4,0.027605073364834608,0.012434717731907482,0,0.004973887092762992,0.002486943546381496,0,0,0.004973887092762992,0
Mi5,0.08306391444914198,0,0,0,0.02511812981845311,0,0,0,0.01268341208654563
Mi6,0.02511812981845311,0.014921661278288978,0,0.007460830639144489,0.014921661278288978,0.007460830639144489,0.009947774185525985,0.002486943546381496,0.02014424272569012
Mi7,0.004973887092762992,0.007460830639144489,0,0.009947774185525985,0,0,0,0,0.007460830639144489
Mi8,0.014921661278288978,0,0,0,0,0.012434717731907482,0.007460830639144489,0.004973887092762992,0.002486943546381496
Mi10,0.022631186272071616,0,0,0.01268341208654563,0.009947774185525985,0.01765729917930862,0,0.03282765481223575,0.009947774185525985
Mi12,0.009947774185525985,0,0,0.007460830639144489,0.007460830639144489,0,0,0,0
Mi14,0.08182044267595122,0.004973887092762992,0.002486943546381496,0,0.029843322556577956,0,0,0,0.004973887092762992
Mi17,0.020392937080328268,0.007709524993782638,0,0.002486943546381496,0.022879880626709766,0,0.01268341208654563,0.01268341208654563,0
Mi18,0.01989554837105197,0.007460830639144489,0,0,0,0,0,0,0.01989554837105197
Mi20,0.037304153195722445,0,0,0,0.1342949515046008,0,0,0,0
Mi21,0,0,0,0,0,0,0,0.01268341208654563,0.002486943546381496
Mi23,0.017408604824670475,0,0,0,0,0,0,0,0
