ind,Cervus_elaphus,Vulpes_vulpes,Meles_meles,Genetta_genetta,Oryctolagus_cuniculus,Dama_dama,Turdus_philomelos,Sus_scrofa,Lepus_granatensis,Turdus_merula,Lanius_senator
Jmac001,0.033044742848930504,0.004405965713190734,0,0,0.004405965713190734,0.004405965713190734,0,0.026435794279144404,0,0,0
Jmac002,0.005187562666532949,0.0025937813332664746,0,0,0,0,0.0025937813332664746,0.0025937813332664746,0,0.012968906666332372,0
Jmac003,0.005485739848934391,0.013714349622335977,0.013714349622335977,0.0027428699244671957,0.0027428699244671957,0,0.0027428699244671957,0.010971479697868783,0.0027428699244671957,0.0027428699244671957,0
Jmac006,0.049953862832297836,0.0022706301287408115,0,0,0,0.004541260257481623,0,0,0,0,0
Jmac007,0.008734388025458697,0.003493755210183479,0.00174687760509174,0,0.008734388025458697,0,0,0.00174687760509174,0,0.003493755210183479,0
Jmac008,0.014482641916776038,0,0,0,0,0,0,0,0,0,0
Jmac009,0.007733345290742986,0,0,0,0,0.005800008968057239,0,0.0019333363226857467,0,0.0019333363226857467,0
Jmac011,0.08257005175032348,0.0022936125486200973,0,0,0,0.025229738034821064,0,0,0,0.004587225097240193,0.0022936125486200973
Jmac004,0.037792778579272414,0,0,0,0,0,0,0.002223104622310142,0,0.002223104622310142,0
Jmac005,0.06729899166603424,0.002804124652751427,0,0,0,0,0,0.028041246527514267,0,0,0.002804124652751427
Jmac010,0.0036525762481478584,0,0,0,0,0,0,0,0,0,0
Jmac013,0,0.07002457065277203,0,0,0,0,0.004376535665798252,0.026259213994789508,0,0.017506142663193006,0
Jmac014,0.009400446037620273,0,0,0,0,0,0,0,0,0,0
Jmac016,0.005223900429198725,0,0,0,0,0,0,0,0,0,0
Jmac017,0.0071939465102888265,0,0,0,0,0,0,0.0071939465102888265,0,0,0
Jmac018,0.023272978529669284,0,0,0,0,0,0,0,0,0,0
Jmac019,0.030057417486290264,0,0,0,0,0,0,0,0,0,0
Jmac023,0.0333526017788122,0,0,0,0,0,0,0.005558766963135366,0,0,0
Jmac024,0.07766128911816489,0,0,0,0,0,0,0.017258064248481086,0,0,0
Jmac025,0.026062272467598086,0,0,0,0,0,0,0,0,0,0
Jmac026,0.014762083840285156,0,0,0,0,0,0.004920694613428385,0.004920694613428385,0,0,0
Jmac027,0.02826839979267781,0,0,0,0.004711399965446301,0,0.004711399965446301,0,0,0.004711399965446301,0
Jmac012,0.007028149461631193,0,0,0,0,0,0,0,0,0,0
Jmac028,0.009405707990792309,0,0,0,0,0,0,0,0,0,0
Jmac029,0,0,0,0,0,0,0,0.012773086483312084,0,0,0
Jmac015,0.006735618966229506,0,0,0,0,0,0,0,0,0,0
