ind,Erithacus_rubecula,Sylvia_atricapilla,Turdus_philomelos,Turdus_merula,Psammodromus_algirus,Apodemus_sylvaticus,Columba_palumbus,Sylvia_melanocephala,Sylvia_undata,Sturnus_vulgaris,Phoenicurus_phoenicurus,Cyanopica_cooki,Sylvia_communis,Sylvia_cantillans
olan001,0.007185268695978962,0.003592634347989481,0.003592634347989481,0,0,0,0,0,0,0,0,0,0,0
olan002,0.014370537391957924,0.007185268695978962,0,0.003592634347989481,0,0,0,0,0,0,0,0,0,0
olan003,0,0.003788049605411503,0.003788049605411503,0,0,0,0,0,0,0,0,0,0,0
olan004,0.003592634347989481,0.007185268695978962,0,0,0,0,0,0,0,0,0,0,0,0
olan005,0.02514844043592637,0.02514844043592637,0,0,0.003592634347989481,0,0,0,0,0,0,0,0,0
olan006,0.003592634347989481,0,0,0,0,0,0,0,0,0,0,0,0,0
olan007,0.007185268695978962,0.010777903043968444,0,0,0,0.007185268695978962,0,0,0,0,0,0,0,0
olan009,0,0.003592634347989481,0,0,0,0,0,0,0,0,0,0,0,0
olan010,0.003592634347989481,0,0,0,0,0,0,0,0,0,0,0,0,0
olan011,0.007576099210823006,0.07954904171364156,0,0,0,0.003788049605411503,0.003788049605411503,0.015152198421646012,0.003788049605411503,0,0,0,0,0
olan012,0.015152198421646012,0.07197294250281856,0.011364148816234508,0.007576099210823006,0,0,0,0.003788049605411503,0.003788049605411503,0,0,0,0,0
olan013,0,0.07954904171364156,0.007576099210823006,0,0,0.007576099210823006,0,0,0.003788049605411503,0.003788049605411503,0,0,0,0
olan014,0.007576099210823006,0.049244644870349547,0,0,0,0,0,0.007576099210823006,0,0,0.003788049605411503,0,0,0
olan015,0.007576099210823006,0.003788049605411503,0,0,0,0,0,0.003788049605411503,0.003788049605411503,0,0,0,0,0
olan016,0,0.03788049605411503,0,0,0,0,0,0,0,0,0,0,0,0
olan017,0.003788049605411503,0.04166854565952654,0,0,0,0,0,0,0,0,0,0,0,0
olan018,0.018940248027057516,0.1212175873731681,0,0,0,0,0,0.003788049605411503,0.007576099210823006,0,0.003788049605411503,0.003788049605411503,0.003788049605411503,0
olan019,0,0.10985343855693358,0.003788049605411503,0,0,0,0,0,0,0,0.003788049605411503,0,0,0
olan020,0.007576099210823006,0.04545659526493804,0.007576099210823006,0,0,0,0,0,0.007576099210823006,0,0,0,0,0.003788049605411503
