ind,Pycnonotus_cafer,Psilopogon_haemacephalus,Psittacula_cyanocephala,Pycnonotus_jocosus,Pycnonotus_luteolus,Sturnia_pagodarum,Funambulus_palmarum,Eudynamys_scolopaceus,Zosterops_palpebrosus,Acridotheres_tristis,Carpodacus_erythrinus,Sylvia_curruca,Acridotheres_fuscus
ZO01,0.009316770186335404,0,0,0,0,0,0,0,0,0,0,0,0
ZO02,0.2204968944099379,0.003105590062111801,0.003105590062111801,0.024844720496894408,0.034161490683229816,0.015527950310559006,0,0,0,0,0,0,0
ZO03,0.003105590062111801,0,0,0.006211180124223602,0,0.003105590062111801,0.003105590062111801,0,0,0,0,0,0
ZO05,0.021739130434782608,0.003105590062111801,0,0,0,0.003105590062111801,0,0.003105590062111801,0.024844720496894408,0,0,0,0
ZO06,0.021739130434782608,0,0,0,0,0,0,0,0,0,0,0,0
ZO07,0.10869565217391304,0,0,0,0,0.012422360248447204,0,0,0.006211180124223602,0.003105590062111801,0.003105590062111801,0.006211180124223602,0
ZO09,0.012422360248447204,0,0,0,0.012422360248447204,0,0,0,0,0,0,0,0
ZO10,0.049689440993788817,0,0,0,0,0,0,0,0,0,0.003105590062111801,0.024844720496894408,0
ZO11,0.006211180124223602,0,0,0,0,0,0,0,0.003105590062111801,0,0,0.003105590062111801,0
ZO12,0.018633540372670808,0,0,0,0,0,0,0,0,0,0,0,0
ZO13,0.009316770186335404,0,0,0,0,0,0,0,0,0,0,0,0
ZO14,0,0,0,0,0,0,0,0,0.006211180124223602,0,0.024844720496894408,0,0
ZO15,0,0,0,0,0,0,0,0,0,0,0,0.003105590062111801,0
ZO16,0.009316770186335404,0,0,0,0,0,0,0,0,0,0,0,0
ZO17,0.003105590062111801,0,0,0,0,0,0,0,0,0,0,0,0
ZO18,0.012422360248447204,0,0,0,0,0,0,0,0,0,0,0.003105590062111801,0
ZO19,0.015527950310559006,0,0,0,0,0.006211180124223602,0,0,0.003105590062111801,0,0,0.009316770186335404,0
ZO20,0.012422360248447204,0,0.006211180124223602,0,0,0.024844720496894408,0,0,0,0,0,0.015527950310559006,0.012422360248447204
ZO21,0.012422360248447204,0.003105590062111801,0,0,0,0,0,0,0,0,0,0.009316770186335404,0
ZO22,0.040372670807453416,0,0,0.027950310559006212,0.009316770186335404,0,0,0,0.021739130434782608,0,0,0.021739130434782608,0
