sp,Sylvia_atricapilla,Erithacus_rubecula,Turdus_merula,Turdus_iliacus,Turdus_philomelos,Turdus_viscivorus,Garrulus_glandarius
Taxus_baccata,0,0,0,0,0,0,0.003193496879082596
Sorbus_aucuparia,0,0,0.0011612715923936712,0.0011612715923936712,0.0014515894904920889,0.052837857453912035,0
CMEN,0,0,0,5.806357961968356e-4,0,0,0
Prunus_spinosa,0,0,5.806357961968356e-4,0,0,0,0.003193496879082596
RUCM,0.12178835825228626,0.0344026709246625,0.016112643344462187,0.00522572216577152,0,0,0.10378864857018436
Fragaria_vespa,0.0130643054144288,0.0037741326752794313,0.0017419073885905066,0,0,0,0
Rosa_spp.,0,0,0.003193496879082596,5.806357961968356e-4,0,0,0.01582232544636377
Ilex_aquifolium,0,0.06517636812309478,0.005370881114820729,0.11685295398461315,0,0.039628393090434026,0.009580490637247786
Hedera_helix,0,0.005951516911017564,0.005370881114820729,0.0017419073885905066,0.0014515894904920889,0.039628393090434026,0
Solanum_nigrum,0.0037741326752794313,0.024967339236463926,0.003483814777181013,0.016548120191609814,0,0,0
RPET,0,0.0021773842357381335,0.0036289737262302224,0,0,0.013209464363478009,0.009580490637247786
Vaccinium_myrtillus,0.0037741326752794313,0,0.10219190013064307,0,0.1422557700682247,0,0
