sp,Turdus_merula,Parus_palustris,Turdus_philomelos,Parus_caeruleus,Columba_palumbus,Turdus_iliacus,Sylvia_atricapilla,Erithacus_rubecula,Pyrrhula_pyrrhula,Turdus_pilaris,Parus_major,Sitta_europaea,Fringilla_coelebs,Aegithalos_caudatus
Sambucus_nigra,0.014846538187009279,0,5.710206995003569e-4,0.027123483226266953,0.044967880085653104,0.06381156316916489,0.06995003568879372,0,0.04753747323340471,0.04753747323340471,0.04082798001427552,0.028551034975017844,0.014275517487508922,0.05952890792291221
Crataegus_monogyna,0.037758743754461095,0.05924339757316203,0.06652391149179158,0.021413276231263382,0,0,0,0,0,0,0,0.01641684511063526,0,0
Rubus_sp.,9.992862241256246e-4,0,0,0.0014275517487508922,0.004853675945753033,0.006138472519628836,0,0,0,0,0,0,0.028551034975017844,0
Bryonia_dioica,0,0,0,0,0.005139186295503212,0.0010706638115631692,0,0,0,0,0,0,0,0
Hedera_helix,0,0,0,0,0.01099214846538187,3.5688793718772306e-4,0.0014275517487508922,0,0,0,0,0,0.028551034975017844,0.011848679514632407
Euonymus_europaeus,0,0,0,0,8.565310492505353e-4,0,0,0,0,0,0,0,0,0
Solanum_dulcamara,0,0,0,0,2.8551034975017847e-4,0,0,0,0.024553890078515345,0.01192005710206995,0,0,0,0
Prunus_spinosa,0.006852248394004282,0.012134189864382585,0.004282655246252677,0,0,0,0,0,0,0,0,0,0,0
Rosa_sp.,0.002569593147751606,0,0,0,0,0,0,0,0,0,0,0.007137758743754461,0,0
Lonicera_periclymenum,0.008065667380442542,0,0,0.021413276231263382,0,0,0,0,0,0.01192005710206995,0.020342612419700215,0.019271948608137045,0,0
Tamus_communis,2.8551034975017847e-4,0,0,0,0.004282655246252677,0,0,0.07137758743754462,0,0,0.01020699500356888,0,0,0
