sp,Ptilinopus_magnificus,Ptilinopus_superbus,Ptilinopus_regina,Macropygia_amboinensis,Columba_leucomela,Ducula_spilorrhoa,Lopholaimus_antarcticus
Freycinetia_excelsa,0,0,0,0.0021172381102859852,0,0,0
Archontophoenix_alexandrae,0.0015958287249170486,0.002859851477326592,0.0059093063675146155,0,0,0,0
Calamus_sp.,0,0.002148838679096224,0,0,0,0,0
Pothos_loureirii,0.0014694264496760943,0.0064465160372886715,0,2.68604834887028e-4,0,0,0
Flagellaria_sp.,6.162110917996525e-4,0.002148838679096224,0,0,0,0,0
Piper_sp.,2.528045504819087e-4,9.638173487122769e-4,0,0,0,0,0
Ficus_destruens,0.004676884183915311,0.003823668826038869,0.0017064307157528837,0,0,0.00445568020224364,0
Ficus_leptoclada,7.426133670406067e-4,0.0012008216147890664,0,0,0,0,0
Ficus_virens,6.162110917996525e-4,7.110127982303682e-4,0,0,0,0.0088955601200821615,0
Helicia_nortoniana,0,0,0,0.0015958287249170486,0,0,0
Dendrophthoe_falcata,0,0,0.003381260862695529,0,0,0,0
Notothixos_subarueus,3.6340654131774376e-4,9.638173487122769e-4,0,0.008026544477800601,0,0,0
Hypaerpa_decumbens,4.89808816558698e-4,0,0,0,0,0,0
Hypaerpa_laurina,2.528045504819087e-4,0.0012008216147890664,0,0,0,0,0
Cananga_odorata,0.010096381734871228,0,0,0,0,0,0
Rauwenhoffia_leichardtii,0,0.001185021330383947,0,0,0,0,0
Myristica_muelleri,0.0025754463580344444,9.480170643071576e-4,0,0,0,0.013351240322325802,0
Tretasynandra_laxiflora,0.004060673092115658,0.002859851477326592,0,0,0,0,0
Cinnamomun_laubatii,7.58413651445726e-4,0,0,0,0.04313477642597567,0,0
Cryptocarya_hypospodia,0.003823668826038869,7.110127982303682e-4,0,0,0,0.05786064149154685,0
Cryptocarya_mackinnoniana,0.0076157370832675,0.009559172065097172,0,0,0,0,0.05293095275714963
