sp,Patagioenas.cayennensis,Patagioenas.speciosa,Celeus.flavescens,Machaeropterus.regulus,Manacus.manacus,Dixiphia.pipra,Pipra.rubrocapilla,Pachyramphus.polychopterus,Capsiempis.flaveola,Elaenia.flavogaster,Tolmomyias.flaviventris,Cnemotriccus.fuscatus,Mionectes.oleagineus,Legatus.leucophaius,Megarynchus.pitangua,Myiarchus.ferox,Myiodynastes.maculatus,Myiozetetes.cayanensis,Myiozetetes.similis,Pitangus.sulphuratus,Tyrannus.melancholicus,Platycichla.flavipes,Turdus.amaurochalinus,Turdus.leucomelas,Turdus.rufiventris,Vireo.olivaceus,Geothlypis.aequinoctialis,Arremon.taciturnus,Euphonia.chlorotica,Euphonia.violacea,Cacicus.haemorrhous,Conirostrum.speciosum,Coereba.flaveola,Cyanerpes.cyaneus,Dacnis.cayana,Hemithraupis.flavicollis,Nemosia.pileata,Ramphocelus.bresilius,Saltator.maximus,Tachyphonus.coronatus,Tachyphonus.cristatus,Tangara.cayana,Tangara.mexicana,Thraupis.palmarum,Thraupis.sayaca
Myrsine ferruginea,0,0,0.006,0,0.006,0.004,0.006,0.006,0,0.006,0,0,0.002,0,0,0.006,0,0,0.002,0,0.002,0,0,0,0,0.002,0,0,0,0,0.002,0,0,0,0.006,0,0,0.008,0.006,0,0,0.002,0,0.002,0.002
Myrcia splendens,0,0,0.002,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.006,0,0,0,0.002,0.008,0.01,0,0.002,0,0,0.002,0
Miconia albicans,0,0,0,0,0.01,0,0.002,0,0,0.002,0,0,0,0,0,0.002,0,0,0.008,0.002,0.004,0,0,0.002,0,0,0,0,0,0.002,0.004,0,0,0,0.016,0.002,0.006,0.03,0.004,0.01,0.004,0,0,0,0.002
Miconia prasina,0,0,0,0.004,0.008,0.006,0.004,0,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0.002,0.004,0.002,0,0,0,0,0,0,0.008,0,0,0,0,0.008,0,0,0.012,0.002,0.006,0,0,0.002,0.002,0.004
Xylopia sericea,0,0,0,0,0.002,0.002,0,0.002,0,0,0.002,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.004,0,0.012,0.002,0.024,0.014,0,0.004,0.002,0.004,0,0,0,0.002,0.002
Cupania oblongifolia,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.002,0.004,0,0,0.004,0.008,0.006,0.004,0,0.008,0.004,0.008,0,0,0,0.002,0,0.008,0,0,0,0.002,0,0.004,0.004,0,0,0,0,0,0,0
Henriettea saldanhaei,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0
Alchornea triplinervia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.002,0.01,0,0,0.006,0,0,0,0,0,0,0
Trema micrantha,0,0,0,0,0.008,0,0,0,0,0,0,0.014,0.006,0,0,0.002,0,0,0.006,0,0,0,0,0,0,0.02,0.002,0.002,0,0,0,0,0,0,0.012,0,0,0.014,0.002,0,0,0,0,0,0
Aegiphila integrifolia,0,0,0,0,0.004,0,0.004,0,0,0,0,0.002,0.002,0,0.002,0.002,0,0,0.01,0.01,0.002,0,0.006,0,0,0,0,0,0,0,0.002,0,0.002,0,0.006,0,0,0.006,0.016,0,0.002,0,0.004,0,0
Guarea guidonia,0,0,0.002,0.002,0.018,0.002,0,0,0,0,0,0.006,0.002,0.01,0.002,0.004,0.014,0,0.01,0.002,0.006,0,0.01,0,0,0.012,0,0,0,0,0.026,0,0.002,0,0.022,0,0.002,0.004,0.002,0,0,0,0,0,0
Citharexylum myrianthum,0.004,0.002,0,0,0,0,0,0,0,0.008,0,0,0,0.02,0.002,0.002,0.008,0,0.008,0.008,0.008,0,0.01,0,0.002,0,0,0,0,0.002,0,0.004,0,0,0.008,0,0.004,0,0.002,0,0,0,0,0,0.006
Miconia cinnamomifolia,0,0,0,0.01,0,0.002,0.002,0,0.002,0,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0,0.008,0.002,0,0,0,0,0,0.002,0.002,0,0.004,0,0.002,0,0
