sp,Chiroxiphia.caudata,Coereba.flaveola,Cyclarhis.gujanensis,Dacnis.cayana,Elaenia.flavogaster,Euphonia.pectoralis,Leptotila.verreauxi,Megarynchus.pitangua,Myiarchus.ferox,Myiodynastes.maculatus,Myiozetetes.similis,Setophaga.pitiayumi,Picumnus.cirratus,Pitangus.sulphuratus,Platycichla.flavipes,Ramphocelus.bresilius,Saltator.similis,Tachyphonus.coronatus,Tangara.cayana,Thraupis.cyanocephala,Thraupis.palmarum,Thraupis.sayaca,Trichothraupis.melanops,Turdus.albicollis,Turdus.amaurochalinus,Turdus.leucomelas,Turdus.rufiventris,Tyrannus.melancholicus,Vireo.olivaceus,Zonotrichia.capensis
Aegiphila integrifolia,0.004273504273504274,0.004273504273504274,0,0.004273504273504274,0.004273504273504274,0,0.004273504273504274,0,0.01282051282051282,0.004273504273504274,0.008547008547008548,0,0.004273504273504274,0,0,0.008547008547008548,0.008547008547008548,0.004273504273504274,0,0,0.004273504273504274,0.01282051282051282,0,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.008547008547008548,0,0.004273504273504274,0
Clusia criuva,0,0,0,0.004273504273504274,0,0,0,0,0.004273504273504274,0,0,0,0,0,0,0.004273504273504274,0,0,0,0.008547008547008548,0,0,0,0,0,0,0,0.004273504273504274,0.004273504273504274,0
Citharexylum myrianthum,0,0,0,0,0.004273504273504274,0,0,0,0.004273504273504274,0,0,0.004273504273504274,0,0,0,0.004273504273504274,0,0,0,0,0,0.004273504273504274,0,0.004273504273504274,0,0.004273504273504274,0,0.008547008547008548,0.004273504273504274,0
Euterpe oleracea,0,0,0,0,0.004273504273504274,0,0,0.004273504273504274,0,0,0,0,0,0.004273504273504274,0.004273504273504274,0,0,0,0,0,0,0.004273504273504274,0,0,0.004273504273504274,0,0.004273504273504274,0,0,0
Erythroxylum sp1,0,0,0,0.004273504273504274,0,0,0,0.004273504273504274,0,0,0,0.004273504273504274,0.004273504273504274,0,0.004273504273504274,0.004273504273504274,0,0,0.008547008547008548,0,0.008547008547008548,0,0.004273504273504274,0,0,0,0.004273504273504274,0.004273504273504274,0,0
Guapira sp,0,0,0.004273504273504274,0,0,0.004273504273504274,0,0,0,0,0,0,0,0,0.004273504273504274,0.008547008547008548,0.004273504273504274,0,0.004273504273504274,0,0,0,0.01282051282051282,0,0,0.004273504273504274,0,0,0,0
Livistona chinensis,0,0.008547008547008548,0.008547008547008548,0,0,0,0,0.008547008547008548,0,0,0,0.004273504273504274,0,0.008547008547008548,0.017094017094017096,0.021367521367521368,0.021367521367521368,0.004273504273504274,0.008547008547008548,0,0.01282051282051282,0.017094017094017096,0,0.017094017094017096,0.008547008547008548,0.01282051282051282,0.017094017094017096,0,0,0.004273504273504274
Miconia albicans,0,0,0,0.008547008547008548,0,0,0,0,0,0,0.004273504273504274,0,0,0,0.004273504273504274,0.01282051282051282,0.004273504273504274,0.008547008547008548,0,0.01282051282051282,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.008547008547008548,0.004273504273504274,0,0,0,0,0
Miconia cinnamomifolia,0,0,0,0.004273504273504274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004273504273504274,0,0,0,0,0,0,0,0,0,0
Myrcia splendens,0,0.004273504273504274,0,0.004273504273504274,0.004273504273504274,0,0,0,0,0,0,0,0,0.008547008547008548,0,0.008547008547008548,0.004273504273504274,0.004273504273504274,0,0.004273504273504274,0.008547008547008548,0.004273504273504274,0,0.004273504273504274,0,0.004273504273504274,0.008547008547008548,0.004273504273504274,0,0
Myrcia ferruginea,0,0.004273504273504274,0,0.017094017094017096,0,0,0,0,0.004273504273504274,0,0,0,0,0,0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0,0.02564102564102564,0,0.008547008547008548,0,0.008547008547008548,0,0,0.008547008547008548,0,0.017094017094017096,0
Myrsine umbellata,0.008547008547008548,0,0,0.004273504273504274,0,0.004273504273504274,0,0,0,0.004273504273504274,0.004273504273504274,0,0,0,0.01282051282051282,0.01282051282051282,0.008547008547008548,0.008547008547008548,0,0.008547008547008548,0,0.004273504273504274,0,0.01282051282051282,0.008547008547008548,0.004273504273504274,0.004273504273504274,0,0,0
Schinus terebinthifolius,0,0.004273504273504274,0,0.004273504273504274,0.008547008547008548,0,0,0,0.004273504273504274,0,0.004273504273504274,0,0,0,0,0.008547008547008548,0.004273504273504274,0.004273504273504274,0,0.004273504273504274,0.004273504273504274,0.004273504273504274,0,0.004273504273504274,0.004273504273504274,0,0.004273504273504274,0,0,0
