sp,Patagioenas.picazuro,Crotophaga.ani,Guira.guira,Elaenia.flavogaster,Pitangus.sulphuratus,Myiodynastes.maculatus,Tyrannus.melancholicus,Tyrannus.savana,Turdus.rufiventris,Mimus.saturninus,Coereba.flaveola,Thraupis.sayaca,Thraupis.palmarum,Tersina.viridis,Sicalis.flaveola,Gnorimopsar.chopi,Chrysomus.ruficapillus,Estrilda.astrild,unknown.sp,unknown2.sp
Elaeis guineensis,0,0,0,0,0.004608294930875576,0,0,0,0,0,0,0.004608294930875576,0,0,0,0,0,0,0,0
Arecaceae sp,0,0,0,0,0,0,0,0,0,0,0,0,0.004608294930875576,0,0,0,0,0,0,0
Roystonea oleraceae,0,0,0,0,0.009216589861751152,0,0,0,0,0,0,0.004608294930875576,0.004608294930875576,0,0,0,0,0,0,0
Syagrus romanzoffiana,0,0,0,0,0,0.004608294930875576,0,0,0,0,0,0,0.004608294930875576,0,0,0,0,0,0,0
Trema micrantha,0,0,0,0.004608294930875576,0,0,0.004608294930875576,0,0.004608294930875576,0,0,0.004608294930875576,0.004608294930875576,0.009216589861751152,0,0.004608294930875576,0,0,0,0
Erythroxylum pulchrum,0,0,0,0,0,0,0,0,0.004608294930875576,0,0,0.004608294930875576,0,0,0,0,0,0,0,0
Cajanus cajan,0,0,0.004608294930875576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia auriculiformis,0.013824884792626729,0.009216589861751152,0.004608294930875576,0.02304147465437788,0.018433179723502304,0.009216589861751152,0.009216589861751152,0,0,0,0,0.07373271889400922,0.004608294930875576,0,0.004608294930875576,0,0.004608294930875576,0,0,0
Inga laurina,0,0,0,0,0.013824884792626729,0,0,0,0,0,0,0.02304147465437788,0,0,0,0,0,0,0,0
Samanea tubulosa,0,0,0,0,0,0,0,0,0,0,0,0.018433179723502304,0,0,0,0,0,0,0,0
Guarea guidonia,0,0,0,0.004608294930875576,0.009216589861751152,0,0.004608294930875576,0.004608294930875576,0,0,0.004608294930875576,0.004608294930875576,0,0,0,0,0,0,0,0.004608294930875576
Ficus benjamina,0,0,0,0.009216589861751152,0.027649769585253458,0,0.013824884792626729,0.013824884792626729,0,0.02304147465437788,0.018433179723502304,0.1382488479262673,0,0,0.013824884792626729,0,0,0,0,0
Ficus sp,0,0,0,0.02304147465437788,0.027649769585253458,0,0.018433179723502304,0,0,0.03686635944700461,0.018433179723502304,0.15668202764976957,0,0.013824884792626729,0,0,0,0,0.004608294930875576,0
Musa paradisiaca,0,0,0,0,0.004608294930875576,0,0,0,0.004608294930875576,0,0,0.004608294930875576,0,0,0,0,0,0,0,0
Plinia cauliflora,0,0,0,0,0,0,0,0,0,0,0,0.013824884792626729,0,0,0,0,0,0,0,0
Psidium guajava,0,0,0,0,0,0,0,0,0,0,0,0.009216589861751152,0,0,0,0,0,0,0,0
Syzygium cumini,0,0,0,0,0,0,0,0,0,0,0,0.009216589861751152,0,0,0,0,0,0,0,0
Guapira opposita,0,0,0,0,0.004608294930875576,0,0,0,0.004608294930875576,0,0,0,0,0,0,0,0,0,0,0
Genipa americana,0,0,0,0,0,0,0,0,0,0,0,0.013824884792626729,0,0,0,0,0,0,0,0
Murraya paniculata,0,0,0,0,0,0,0,0,0,0,0,0.004608294930875576,0,0,0,0,0,0,0,0
Cupania oblongifolia,0,0,0,0,0,0,0,0,0,0.004608294930875576,0,0,0,0,0,0,0,0,0,0
Duranta erecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004608294930875576,0,0
