sp,Carollia_castanea,Carollia_sowelli,Carollia_perspicillata,Artibeus_jamaicensis,Dermanura_sp,Glossophaga_commissarisi,Vampyressa_nymphaea,Vampyrops_helleri,Artibeus_lituratus,Chiroderma_villosum,Uroderma_bilobatum,Hylonycteris_underwoodi,Phylloderma_stenops,Vampyressa_pusilla
Piper_sancti-felicis,0.07599118942731277,0.0473568281938326,0.018722466960352423,0.0011013215859030838,0.015418502202643172,0.0022026431718061676,0.0011013215859030838,0,0,0,0.0011013215859030838,0,0,0
Piper_auritum,0.0022026431718061676,0.06387665198237885,0.031938325991189426,0.0011013215859030838,0.02092511013215859,0.015418502202643172,0,0,0.0011013215859030838,0,0,0,0,0
Piper_multiplinervium,0.07048458149779736,0.023127753303964757,0.03634361233480176,0,0.0011013215859030838,0,0,0,0,0,0,0,0,0
Vismia_panamensis,0.004405286343612335,0.02753303964757709,0.023127753303964757,0.005506607929515419,0.0022026431718061676,0.02753303964757709,0,0,0.004405286343612335,0,0,0.0011013215859030838,0,0
Cecropia_obtusifolia,0,0,0,0.025330396475770924,0.01762114537444934,0.0011013215859030838,0.005506607929515419,0.011013215859030838,0.004405286343612335,0.0011013215859030838,0.0011013215859030838,0,0,0.0011013215859030838
Solanum_rugosum,0.007709251101321586,0.02092511013215859,0.016519823788546256,0.0011013215859030838,0.0011013215859030838,0.0011013215859030838,0.004405286343612335,0,0,0,0.003303964757709251,0,0,0
Ficus_cahuitensis,0,0,0,0.03524229074889868,0.0011013215859030838,0,0.003303964757709251,0.003303964757709251,0.0022026431718061676,0.00881057268722467,0.0011013215859030838,0,0,0
Piper_glabratum,0.031938325991189426,0.007709251101321586,0.006607929515418502,0,0.005506607929515419,0.0022026431718061676,0,0,0,0,0,0,0,0
Piper_colonense,0.013215859030837005,0.014317180616740088,0.0022026431718061676,0,0.006607929515418502,0.0011013215859030838,0,0,0,0,0,0,0,0
Piper_friedrichsthalii,0.018722466960352423,0.0022026431718061676,0.009911894273127754,0,0,0.0011013215859030838,0,0,0,0,0,0,0,0
Philodendron_sp,0.0022026431718061676,0.015418502202643172,0.003303964757709251,0,0.0011013215859030838,0.0011013215859030838,0,0,0,0,0,0,0,0
Ficus_insipida,0,0,0,0.01762114537444934,0,0,0,0.0011013215859030838,0.0011013215859030838,0,0,0,0,0
Markea_neuratha,0,0.005506607929515419,0.0022026431718061676,0,0.0011013215859030838,0.005506607929515419,0,0,0,0,0,0.003303964757709251,0,0
Piper_trigonum,0.009911894273127754,0.005506607929515419,0,0,0,0,0,0,0,0,0,0,0,0
Piper_sp3,0.005506607929515419,0.0022026431718061676,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0,0
Cecropia_insignis,0,0,0,0,0,0.00881057268722467,0,0,0,0,0,0,0,0
Piper_augustum,0.0011013215859030838,0.005506607929515419,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0,0
Senna_fruticosa,0.0011013215859030838,0.0011013215859030838,0.005506607929515419,0,0,0,0,0,0,0,0,0,0,0
Piper_reticulatum,0.003303964757709251,0,0.003303964757709251,0,0,0,0,0,0,0,0,0,0,0
Piper_sp2,0.003303964757709251,0.003303964757709251,0,0,0,0,0,0,0,0,0,0,0,0
Solanum_arboreum,0.0022026431718061676,0.0022026431718061676,0.0022026431718061676,0,0,0,0,0,0,0,0,0,0,0
Ficus_popenoei,0,0,0,0.0011013215859030838,0.0022026431718061676,0,0.003303964757709251,0,0,0,0,0,0,0
Ficus_nymphaeifolia,0,0,0,0.004405286343612335,0,0,0,0,0.0011013215859030838,0,0,0,0,0
Piper_aduncum,0.0022026431718061676,0.0022026431718061676,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0,0
Piper_sp1,0.004405286343612335,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernandia_didymantha,0,0,0,0.003303964757709251,0,0,0,0,0,0.0011013215859030838,0,0,0,0
Anthurium_sp,0,0.003303964757709251,0,0,0,0,0,0,0,0,0,0,0,0
Passiflora_sp.,0,0,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0.0011013215859030838,0
Pothomorphe_peltata,0.0011013215859030838,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0,0,0
Annona_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0.0022026431718061676,0
Ficus_pertusa,0,0,0,0,0.0011013215859030838,0,0,0,0,0,0,0,0,0
Piper_hispidum,0,0,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0,0
Piper_sp4,0,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0,0,0
Piper_sp5,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarisia_mexicana,0,0,0,0.0011013215859030838,0,0,0,0,0,0,0,0,0,0
