sp,Carollia_perspicilatta,Sturnira_lilium,Vampyrops_lineatus,Artibeus_planirostris,Glossophaga_soricina,Artibeus_lituratus,Chiroderma_doriae
Piper_amalago,0.2222222222222222,0.046296296296296294,0,0,0,0,0
Cecropia_pachystachya,0.009259259259259259,0.009259259259259259,0.12962962962962962,0,0.009259259259259259,0,0
unidentified1,0.06481481481481481,0.05555555555555555,0,0.018518518518518517,0,0,0
Piper_gaudichaudianum,0.10185185185185185,0.009259259259259259,0,0,0,0,0
Ficus_sp,0,0.009259259259259259,0.037037037037037035,0.009259259259259259,0,0.009259259259259259,0.009259259259259259
Semente_n?o_identificada,0.009259259259259259,0.037037037037037035,0.027777777777777776,0,0,0,0
Piper_arboreum,0.009259259259259259,0.018518518518518517,0.009259259259259259,0,0,0,0
Solanum_sp3,0,0.037037037037037035,0,0,0,0,0
Piper_sp,0.018518518518518517,0.009259259259259259,0,0,0,0,0
Solanum_inaequale,0.009259259259259259,0.018518518518518517,0,0,0,0,0
Copaifera_langsdorffii,0,0.018518518518518517,0,0,0,0,0
Solanum_paniculatum,0,0.018518518518518517,0,0,0,0,0
Miconia_albicans,0,0,0,0,0.009259259259259259,0,0
