sp;Tangara_palmarum;Tangara_sayaca;Tangara_cayana;Tangara_seledon;Dacnis_cayana;Cyanerpes_cyaneus;Nemosia_pileata;Elaenia_flavogaster;Myiozetetes_similis;Pitangus_sulphuratus;Turdus rufiventris;Turdus leucomelas;Vireo_olivaceus;Cyclarhis_gujanensis;Coereba_flaveola;Icterus_cayanensis;Euphonia_violacea
Tapirira_guianensis;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Didymopanax_morototoni;60;0;0;0;0;0;0;3;0;0;1;9;0;0;0;0;0
Cecropia_sp.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maytenus_distichophylla;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Curatella_americana;3;2;0;0;2;3;0;1;3;0;0;0;0;0;0;0;0
Pera_glabrata;1;0;3;1;15;17;0;0;8;0;0;0;2;2;0;0;0
Sapium_glandulatum;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Byrsonima_sericea;4;1;1;0;0;0;0;0;4;0;0;5;1;0;0;2;0
Clidemia_hirta;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia_minutiflora;56;6;5;0;8;0;6;3;18;1;2;6;1;0;1;0;0
Miconia_albicans;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
Miconia_ciliata;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rapanea_gardneriana;0;11;1;4;0;0;0;2;0;0;0;1;0;1;0;0;0
Myrcia_guianensis;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Eugenia_cyclophylla;7;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Myrcia_sp.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guapira_opposita;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Chiococca_sp.;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Allophylus_edulis;0;0;0;0;1;0;0;1;2;2;0;4;0;0;0;0;0
Cupania_emarginata;12;4;1;0;0;0;0;1;1;0;0;1;0;2;0;0;0
Paullinia_micrantha;1;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phoradendron_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
