sp;Artibeus_jamaicensis;Artibeus_lituratus;Vampyrops_helleri;Artibeus_phaeotis;Carollia_perspicillata;Carollia_brevicauda;Carollia_castanea;Ramphocelus_paserinii;Mionectes_oleagineus;Saltator_maximus;Manacus_candei;Turdus_grayi;Dumetella_carolinensis;Hylocichla_mustelina
Ficus_insipida;5;7;0;0;0;1;0;0;0;0;0;0;0;0
Cecropia_obtusifolia;0;3;4;4;0;0;1;0;0;0;0;0;0;0
Ficus_sp.2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Solanum_rugosum;0;0;1;1;1;4;0;0;0;0;0;0;0;0
Cassia_fruticosa;0;0;0;0;11;6;1;0;0;0;0;0;0;0
Piper_friedrichsthalli;0;0;0;0;9;3;5;0;0;0;0;0;0;0
Unk.1;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Piper_arieianum;0;0;0;0;1;7;8;0;0;0;0;0;0;0
Piper_cenocladum;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Piper_sp.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Unk.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Piper sp.2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Piper_saricti-felicis;0;0;0;0;5;16;15;1;0;0;0;0;0;0
Piper_multiplinervum;0;0;0;0;3;1;13;1;0;0;0;0;0;0
Vismia_sp.1;0;0;14;0;0;0;1;0;0;0;0;0;0;0
Piper_auritum;1;1;5;0;0;0;0;3;1;0;0;0;0;0
Pothomorphe_peltatum;0;0;0;2;0;0;0;0;0;1;0;0;0;0
Lyciarithes_multiﬂorum;0;0;0;2;0;0;0;0;0;2;0;0;0;0
Unk.3;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Unk.4;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Ficus_colubrinae;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Conostegia_subcruslata;0;0;0;0;0;0;0;5;1;2;6;1;0;0
Casearia_corymbosum;0;0;0;0;0;0;0;0;4;0;1;0;0;0
Phytolacca_rivinoides;0;0;0;0;0;0;0;13;1;17;14;2;7;3
Clibadium_pittieri;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Hamelia_patens;0;0;0;0;0;0;0;6;0;17;24;0;7;1
Witheringia_aslerolricha;0;0;0;0;0;0;0;1;0;0;2;0;1;0
Unk.5;0;0;0;0;0;0;0;0;0;3;3;0;0;0
Hampea appendiculata;0;0;0;0;0;0;0;0;2;0;8;2;1;2
Ficus_pertusa;0;0;0;0;0;0;0;0;0;0;0;3;0;0
Miconia_ibarbinervis;0;0;0;0;0;0;0;0;0;0;7;0;0;1
Neea_laetevirens;0;0;0;0;0;0;0;0;0;0;6;0;1;0
Unk.6;0;0;0;0;0;0;0;0;0;0;2;0;0;1
Xiphidium_caeruleum;0;0;0;0;0;0;0;0;0;0;0;0;3;2
Psychotria_pittieri;0;0;0;0;0;0;0;0;0;0;3;0;3;7
