sp;Geospiza_fuliginosa;Mimus_melanotis;Mimus_parvulus;Myiarchus_magnirostris;Dendroica_petechia;Geospiza_fortis;Geospiza_magnirostris;Crotophaga_ani;Platyspizia_crassirostris;Camarhynchus_parvulus;Certhidea_fusca;Geospiza_scandens;Camarhynchus_pallidus;Certhidea_olivacea;Camarhynchus_psittacula
Miconia_robinsoniana;30;1;0;6;69;5;0;2;4;13;3;0;7;4;0
Tournefortia_psilostachya;0;5;30;10;11;1;0;1;1;0;0;0;0;0;0
Talinum_paniculatum;4;0;0;0;1;1;1;0;0;3;0;0;0;0;1
Rubus_niveus;1;6;0;10;0;2;0;0;0;0;0;0;1;0;0
Zanthoxylum_fagara;0;6;2;20;0;0;0;1;0;0;0;0;0;0;0
Tournefortia_pubescens;0;2;16;2;0;0;0;0;0;0;0;0;0;0;0
Lantana_camara;0;5;0;8;0;0;0;0;0;0;0;0;0;0;0
Paspalum_conjugatum;25;0;0;0;7;0;0;1;0;1;1;0;0;0;0
Eragrostis_sp.;45;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Chiococca_alba;0;17;2;0;0;0;0;0;0;0;0;0;0;0;0
Polygonum_opelousanum;15;0;0;0;0;1;1;0;0;0;0;1;0;0;0
Scutia_spicata;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0
Passiflora_foetida;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Tournefortia_rufo-sericea;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Portulaca_oleraceae;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Psidium_guajava;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Bursera_graveolens;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
Desmodium_procumbens;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Fimbrystilis_dichotoma;21;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Vallesia_glabra;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Desmodium_incanum;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Gen._sp.1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
Panicum_sp.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poacea_sp.2;54;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Cordia_leucophlyctis;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Lantana_peduncularis;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Momordica_charantia;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Cordia_lutea;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Maytenus_octogona;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Mentzelia_aspera;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Gen._sp.2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gen._sp.3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Gen._sp.5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Gen._sp.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poacea_sp.1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pilea_baurii;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pennisetum_purpureum;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Solanum_americanum;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Tradescantia_fluminensis_;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erichloa_pacifica;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hypoxis_decumbens;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ludwigia_leptocarpa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sida_espinosa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
