sp;Sturnira_lilium;Artibeus_fimbriatus;Carollia_perspicillata;Artibeus_lituratus;Sturnira_tildae;Artibeus_jamaicensis;Pygoderma_bilabiatum
Solanum_sanctae-katharinae;15;1;1;0;3;0;0
Vismia_sp;8;4;2;0;0;0;1
Solanum_swartzianum;11;1;0;0;0;0;0
Ficus_sp;1;5;0;3;0;1;0
Piper_dilatatum;4;1;2;0;0;0;0
Polpa_sem_semente;2;1;2;0;1;0;0
Cecropia_glaziovi;1;3;0;1;0;0;0
Ficus_luschnathiana;1;3;0;1;0;0;0
Piper_aduncum;0;0;5;0;0;0;0
Vassobia_breviflora;1;4;0;0;0;0;0
Solanum_subsylvestris;3;0;1;0;0;0;0
Cecropia_pachystachya;2;1;0;0;0;0;0
Familias_indeterminadas;0;2;0;1;0;0;0
Piper_sp;1;0;2;0;0;0;0
Solanum_megalochiton;3;0;0;0;0;0;0
Solanum_rufescens;1;0;0;1;1;0;0
Solanum_scuticum;3;0;0;0;0;0;0
Solanum_sp;3;0;0;0;0;0;0
Philodendron_apendiculatum;0;0;2;0;0;0;0
Aureliana_sp;1;0;0;0;0;0;0
Rubus_brasiliensis;1;0;0;0;0;0;0
Solanum_paranaense;0;0;1;0;0;0;0
Solanum_cinnamomeum;1;0;0;0;0;0;0
Solanum_variabile;1;0;0;0;0;0;0
