ind,Parus_caeruleus,Regulus_ignicapillus,Turdus_philomelos,Parus_major,Sylvia_atricapilla,Fringilla_coelebs,Erithacus_rubecula,Turdus_merula,Turdus_iliacus,Phylloscopus_collybita,Ficedula_hypoleuca,Sitta_europaea,Parus_cristatus,Sylvia_borin,Certhia_brachydactyla,Aegithalos_caudatus,Garrulus_glandarius
17,0.04539018424275302,4.282092853089907e-4,0.004649129383354756,0,0.004282092853089907,0,0.0101138955006314,0.022266882836067516,0,4.282092853089907e-4,0.002569255711853944,0,0.0038538835677809167,0,0.001284627855926972,0.004282092853089907,0
8,0.09362631327402118,0.001251688680133973,0,0,0.0018775330202009596,0,0.004130572644442111,0.02503377360267946,0,0,6.258443400669865e-4,0,0.001251688680133973,0,6.258443400669865e-4,0.005006754720535892,0
10,0.11693922781374094,0.007948648863299754,0.008991722763411399,0.006603296404380246,0.032054299567104365,0.004704476161728028,0.014717985602799811,0.046844661726238454,0.018264436863179405,0.008991722763411399,6.258443400669865e-4,0.0013559960701451372,0,0,0,0,0.001251688680133973
13,0.008892811436765784,0.004067988210435412,0,7.568350158949603e-4,0.0015136700317899207,0,0.004067988210435412,0.0015136700317899207,0.042382760890117784,0,0,0.004067988210435412,0,0,0,0,0
12,0.001992484021437753,0,0,0,0,0,0,0,0,0.003984968042875506,0,0,0,0,0,0,0
25,0.01301756227339332,0,0.001627195284174165,0,0.024407929262612472,0,0.0076921958888233255,0,0,0.004437805320474996,0,0,0,0,0,0,0
189,0.08723574717933716,0,0,0,0,9.039973800967582e-4,0,0,0,0,0,9.039973800967582e-4,0.0013559960701451372,0,0,0,0
9,0.002033994105217706,6.779980350725686e-4,0.0013559960701451372,0,0.011525966596233667,0,0,0.0027119921402902745,0,0.006779980350725686,0,0,0,0,0,0,0
35,0.004067988210435412,0,0,0.0013559960701451372,0.010847968561161098,0,0.00949197249101596,0.04339187424464439,0,0,0,0,0,0.0027119921402902745,0,0,0
465,0.0027119921402902745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0.012203964631306236,0,0.011390366989219153,0.004067988210435412,0,0,0,0,0,0,0,0,0
69,0.008135976420870824,0,0,0,0.018305946946959355,0,0.02033994105217706,0.04271387620957183,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0.008135976420870824,0,0,0,0,0,0,0,0,0,0
31,0.005423984280580549,0.003050991157826559,0,0,0,0,0,0.007457978385798255,0,0,0,0,0,0,0,0,0
4,0.00325439056834833,0,0.00325439056834833,0,0.001627195284174165,0,0.0029585368803166636,0.005695183494609578,0,8.135976420870825e-4,0,0,0,0,0,0,0
2,8.135976420870825e-4,0,0,0,0.012203964631306236,0,0,0,0,0.00325439056834833,0,0,0,0,0,0,0
30,0,0,0,0,0.004067988210435412,0,0,0,0,0,0,0,0,0,0,0,0
34,0.004067988210435412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
