ind,Columba_palumbus,Garrulus_glandarius,Turdus_merula,Phoenicurus_ochruros,Erithacus_rubecula,Parus_ater,Fringilla_coelebs,Sylvia_conspicillata,Sylvia_atricapilla,Turdus_viscivorus,Sylvia_communis,Sylvia_melanocephala,Sylvia_borin,Parus_caeruleus,Phoenicurus_phoenicurus,Parus_cristatus,Parus_major,Sylvia_cantillans,Sitta_europaea,Dendrocopos_major
1933,0,0.0010378731750137066,0.0015568097625205599,0.005745369361683018,0.0012973414687671332,0.005578568315698672,0.012788080192133169,5.189365875068533e-4,0.0018162780562739863,0.00467042928756168,0.0020386794509197805,5.189365875068533e-4,7.784048812602799e-4,5.189365875068533e-4,5.745369361683017e-4,0,9.452059272446256e-4,0,0,0
1931,0,5.189365875068533e-4,2.5946829375342664e-4,0.01871878404935435,7.784048812602799e-4,0.0028170843321800604,0.013622085422054899,5.189365875068533e-4,5.189365875068533e-4,5.189365875068533e-4,0.003243353671917833,0,0,6.301372848297503e-4,0.004040292002731928,7.784048812602799e-4,0.0012602745696595006,3.1506864241487515e-4,0,0
1932,0,5.745369361683017e-4,7.784048812602799e-4,0.010008062759060741,0,0.005671235563467753,0.00898872303360085,0,0,2.5946829375342664e-4,5.189365875068533e-4,3.1506864241487515e-4,0,0,0.001890411854489251,0,8.89605578583177e-4,3.1506864241487515e-4,0,0
1934,0,3.1506864241487515e-4,0,0.002593257287568588,0,0.0026902014852347032,0.0019873560521553664,0,0,0,0,0,0,0,6.301372848297503e-4,6.786093836628082e-4,0,0,0,0
1936,0,0,5.601220309597781e-4,0.0014353127043344313,6.301372848297503e-4,0,3.1506864241487515e-4,0,0,0,8.751906733746532e-4,0.0011902593157895284,0,0,0,0,0,3.1506864241487515e-4,0,0
1937,0,0,0.005946920625580768,0.006183222107391925,0.0016541103726780946,0.0012208909893576415,0.004292810252902675,0,3.1506864241487515e-4,0,0.007285962355843989,9.058223469427661e-4,0,0.0036232893877710644,0.002166096916602267,0,0,8.664387666409068e-4,0,0
1938,0,0,0.002363014818111564,0.0037020565483747835,0.0035051386468654866,0.001181507409055782,0.002953768522639455,0,8.664387666409068e-4,2.756850621130158e-4,0.008034250381579316,0.002166096916602267,0,0.002441781978715283,0.001575343212074376,0,0.001181507409055782,0.001181507409055782,0,0
1939,0,0,0.004410960993808253,0.002100457616099168,0.007141555894737171,0.0028356177817338763,0.018168958379257805,0,3.1506864241487515e-4,0,0.004410960993808253,3.1506864241487515e-4,0,0.001995434735294209,0,3.1506864241487515e-4,0,3.1506864241487515e-4,3.1506864241487515e-4,0
1940,0,0,0.0011027402484520632,0.004095892351393377,0.007955483220975598,9.058223469427661e-4,0.011381854707237366,0,0.0018510282741873918,0,8.270551863390473e-4,0.0012208909893576415,0,0.0022054804969041265,3.1506864241487515e-4,3.1506864241487515e-4,0,0,0,0
1921,2.756850621130158e-4,5.513701242260316e-4,0.0010776779700781525,0.021177625225954393,0,0,0.009849475400946836,0,2.756850621130158e-4,0,9.523665782086e-4,0,0,5.513701242260316e-4,0.01195470678435532,0,0,0,0,0
1823,0,0.012350690782663107,0.007057537590093204,0.01896713227337549,0.007939729788854854,0.026465765962849514,0.07366304859659782,0,0.001764384397523301,0.0785151056897869,0,0,0,0.011468498583901457,0.001764384397523301,0,0.003087672695665777,0,0.003969864894427427,0.003087672695665777
1824,0,4.4109609938082527e-4,0.010586306385139807,0.018967132273375487,0.004410960993808253,0.003528768795046602,0.019849324472137136,0,8.821921987616505e-4,0.030876726956657767,0,0,0,0.004852057093189078,0.0013232882981424757,0,0,0,0,0
1820,0,0.006175345391331554,0.0014703203312694175,0.03308220745356189,0.0014703203312694175,0.002940640662538835,0.057342492919507285,0,0,0.014703203312694176,0,0,0,0,4.4109609938082527e-4,0,0,0,0,0
1825,0,0.0017822064621447484,4.009964539825684e-4,0.01247544523501324,0.0014703203312694175,0.0043664058322546336,0.035421353435126875,0,0,0.005836726163524051,0,0,0,4.901067770898058e-4,8.911032310723742e-4,8.019929079651368e-4,4.009964539825684e-4,0,0.0022723132392345542,0
1929,0,0,0,0.0027317883427562476,0,0,2.756850621130158e-4,0,0,0,0.0015037367024346316,0,0,0,8.019929079651368e-4,0,0,0,0,0
8801,0,0.0010586306385139805,7.057537590093204e-4,0.02343916811171339,0.0024226354996762247,0.0036373462964326515,0.008190815260810093,0,0,0.004234522554055922,0.005564596946035026,0,1.764384397523301e-4,0.005768179761133869,0.0022936997167802915,1.764384397523301e-4,6.989676651726923e-4,0.004702763028783259,0,0
8808,0,0.0014047214241820127,8.482617295785101e-4,0.0013707909549988725,0.0012011386090831702,0.005700318822767587,0.004098800677323361,0,1.6965234591570204e-4,0.005781751948807126,8.482617295785101e-4,0,1.6965234591570204e-4,3.528768795046602e-4,5.293153192569902e-4,1.764384397523301e-4,0,3.393046918314041e-4,3.393046918314041e-4,0
8814,1.6965234591570204e-4,7.057537590093204e-4,0.00431595568009546,0.005489949913832117,0.013402535327340459,8.550478234151382e-4,5.157431315837342e-4,0,0,1.764384397523301e-4,0.0013979353303453846,0,1.764384397523301e-4,1.764384397523301e-4,0,0,0,1.764384397523301e-4,1.764384397523301e-4,0
8865,0,0,8.754061049250225e-4,0.007987232445711251,5.293153192569902e-4,0.0070711097777664605,0.002409063312002969,0,0,0.001581159863934343,0.0022054804969041265,0,3.4609078566803217e-4,0.004180233803362898,0.0012214968905930547,0,0,1.6965234591570204e-4,0.0012011386090831702,0
