ind,Pycnonotus_cafer,Pycnonotus_luteolus,Spilopelia_chinensis,Saxicoloides_fulicatus,Orthotomus_sutorius,Megalaima_haemacephala,Pycnonotus_jocosus,Merops_orientalis,Prinia_socialis,Eudynamys_scolopaceus,Dicaeum_erythrorhynchos,Cinnyris_asiaticus,Lonchura_punctulata
ZIZO01,0.005067139599695972,0.01266784899923993,0.002533569799847986,0,0,0,0,0,0,0,0,0,0
ZIZO02,0.013681276919179124,0.020521915378768685,0,0.004560425639726374,0.002280212819863187,0.004560425639726374,0.006840638459589562,0.002280212819863187,0,0,0,0,0
ZIZO03,0.01266784899923993,0.020268558398783887,0,0.01266784899923993,0.002533569799847986,0,0.005067139599695972,0,0.005067139599695972,0.002533569799847986,0,0,0
ZIZO04,0.009120851279452748,0.04332404357740056,0,0.002280212819863187,0.002280212819863187,0,0.006840638459589562,0,0,0.011401064099315936,0.004560425639726374,0.002280212819863187,0
ZIZO05,0.004560425639726374,0.029642766658221433,0,0.006840638459589562,0.002280212819863187,0,0.015961489739042312,0,0,0.002280212819863187,0.006840638459589562,0.002280212819863187,0
ZIZO06,0.006840638459589562,0.03420319229794781,0,0.004560425639726374,0.002280212819863187,0.002280212819863187,0.009120851279452748,0,0,0.002280212819863187,0.002280212819863187,0.002280212819863187,0
ZIZO07,0.04767717714259391,0.026947969689292212,0,0,0,0,0.01036460372665085,0,0,0.00829168298132068,0,0.0207292074533017,0
ZIZO08,0.006840638459589562,0.02736255383835825,0,0.002280212819863187,0,0,0.009120851279452748,0,0,0.002280212819863187,0.004560425639726374,0.002280212819863187,0
ZIZO09,0.015961489739042312,0.02736255383835825,0,0,0,0,0.009120851279452748,0,0,0.002280212819863187,0.009120851279452748,0,0
ZIZO10,0.011401064099315936,0.04104383075753737,0,0.002280212819863187,0,0,0.013681276919179124,0,0,0.002280212819863187,0.002280212819863187,0.009120851279452748,0
ZIZO11,0.013681276919179124,0.05016468203699012,0,0,0,0,0.009120851279452748,0,0,0.006840638459589562,0.004560425639726374,0.004560425639726374,0
ZIZO12,0.011401064099315936,0.013681276919179124,0,0,0,0,0.006840638459589562,0,0,0.004560425639726374,0.002280212819863187,0,0
ZIZO13,0.011401064099315936,0.02736255383835825,0,0,0,0.002280212819863187,0.002280212819863187,0,0,0.002280212819863187,0.002280212819863187,0.004560425639726374,0
ZIZO14,0.013681276919179124,0.02736255383835825,0,0.004560425639726374,0,0.006840638459589562,0.011401064099315936,0,0,0.004560425639726374,0.002280212819863187,0.006840638459589562,0.004560425639726374
ZIZO15,0.011401064099315936,0.029642766658221433,0.002280212819863187,0,0.002280212819863187,0.004560425639726374,0.004560425639726374,0,0,0.004560425639726374,0.004560425639726374,0.004560425639726374,0
