ind,Curruca_communis,Curruca_hortensis,Curruca_iberiae,Curruca_melanocephala,Erithacus_rubecula,Mus_spretus,Sturnus_unicolor,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Apodemus_sylvaticus,Ficedula_hypoleuca,Fringilla_coelebs,Muscicapa_striata,Phoenicurus_phoenicurus,Chloris_chloris
pang001,0.0018304821769721477,0.009152410884860738,0.009152410884860738,0.0036609643539442954,0.04576205442430369,0.009152410884860738,0.005491446530916442,0.05125350095522013,0.012813375238805033,0.03660964353944295,0,0,0,0,0,0
pang002,0.004584759097462949,0,0.004584759097462949,0.004584759097462949,0.006877138646194424,0.004584759097462949,0,0.009169518194925898,0,0.018339036389851796,0,0,0,0,0,0
pang003,0,0.010664548335402946,0.010664548335402946,0.01599682250310442,0.026661370838507368,0,0.023995233754656634,0.029327507922358106,0.0026661370838507365,0.023995233754656634,0,0,0,0,0,0
pang004,0.0018304821769721477,0,0.0018304821769721477,0.0036609643539442954,0.005491446530916442,0,0.005491446530916442,0.08054121578677449,0.005491446530916442,0.03111819700852651,0,0,0,0,0,0
pang005,0.0022923795487314745,0.004584759097462949,0,0.0022923795487314745,0.03667807277970359,0.038970452328435067,0.004584759097462949,0.05272472962082392,0.016046656841120322,0.009169518194925898,0.006877138646194424,0.0022923795487314745,0.0022923795487314745,0.009169518194925898,0.0022923795487314745,0
pang006,0.0022923795487314745,0.006877138646194424,0,0.0022923795487314745,0.0022923795487314745,0,0,0.08481804330306456,0.006877138646194424,0.018339036389851796,0,0,0,0,0,0
pang007,0,0,0,0.00799841125155221,0.0026661370838507365,0,0.04532433042546252,0,0,0,0,0,0,0,0.013330685419253684,0
pang008,0,0.004584759097462949,0,0.013754277292388848,0.02063141593858327,0,0,0.004584759097462949,0,0,0,0,0,0,0.013754277292388848,0.0022923795487314745
pang009,0.00799841125155221,0.0026661370838507365,0,0,0,0,0.005332274167701473,0.00799841125155221,0.0026661370838507365,0.00799841125155221,0.0026661370838507365,0,0,0,0,0
pang010,0.0026661370838507365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
