ind,Erithacus_rubecula,Sylvia_atricapilla,Turdus_philomelos,Turdus_merula,Psammodromus_algirus,Apodemus_sylvaticus,Columba_palumbus,Sylvia_melanocephala,Sylvia_undata,Sturnus_vulgaris,Phoenicurus_phoenicurus,Cyanopica_cooki,Sylvia_communis,Sylvia_cantillans
olan001,0.007185268695978955,0.0035926343479894774,0.0035926343479894774,0,0,0,0,0,0,0,0,0,0,0
olan002,0.01437053739195791,0.007185268695978955,0,0.0035926343479894774,0,0,0,0,0,0,0,0,0,0
olan003,0,0.003788049605411499,0.003788049605411499,0,0,0,0,0,0,0,0,0,0,0
olan004,0.0035926343479894774,0.007185268695978955,0,0,0,0,0,0,0,0,0,0,0,0
olan005,0.02514844043592634,0.02514844043592634,0,0,0.0035926343479894774,0,0,0,0,0,0,0,0,0
olan006,0.0035926343479894774,0,0,0,0,0,0,0,0,0,0,0,0,0
olan007,0.007185268695978955,0.010777903043968433,0,0,0,0.007185268695978955,0,0,0,0,0,0,0,0
olan009,0,0.0035926343479894774,0,0,0,0,0,0,0,0,0,0,0,0
olan010,0.0035926343479894774,0,0,0,0,0,0,0,0,0,0,0,0,0
olan011,0.007576099210822998,0.07954904171364148,0,0,0,0.003788049605411499,0.003788049605411499,0.015152198421645996,0.003788049605411499,0,0,0,0,0
olan012,0.015152198421645996,0.0719729425028185,0.011364148816234498,0.007576099210822998,0,0,0,0.003788049605411499,0.003788049605411499,0,0,0,0,0
olan013,0,0.07954904171364148,0.007576099210822998,0,0,0.007576099210822998,0,0,0.003788049605411499,0.003788049605411499,0,0,0,0
olan014,0.007576099210822998,0.0492446448703495,0,0,0,0,0,0.007576099210822998,0,0,0.003788049605411499,0,0,0
olan015,0.007576099210822998,0.003788049605411499,0,0,0,0,0,0.003788049605411499,0.003788049605411499,0,0,0,0,0
olan016,0,0.03788049605411499,0,0,0,0,0,0,0,0,0,0,0,0
olan017,0.003788049605411499,0.0416685456595265,0,0,0,0,0,0,0,0,0,0,0,0
olan018,0.018940248027057495,0.12121758737316797,0,0,0,0,0,0.003788049605411499,0.007576099210822998,0,0.003788049605411499,0.003788049605411499,0.003788049605411499,0
olan019,0,0.10985343855693348,0.003788049605411499,0,0,0,0,0,0,0,0.003788049605411499,0,0,0
olan020,0.007576099210822998,0.04545659526493799,0.007576099210822998,0,0,0,0,0,0.007576099210822998,0,0,0,0,0.003788049605411499
