sp,Columba.palumbus,Corvus.corax,Corvus.corone,Dendrocopos.major,Erithacus.rubecula,Ficedula.hypoleuca,Phoenicurus.ochruros,Phoenicurus.phoenicurus,Pica.pica,Sylvia.atricapilla,Sylvia.borin,Sylvia.cantillans,Sylvia.communis,Sylvia.conspicillata,Sylvia.melanocephala,Turdus.iliacus,Turdus.merula,Turdus.philomelos,Turdus.pilaris,Turdus.torquatus,Turdus.viscivorus,Garrulus.glandarius,Parus.ater,Sitta.europaea,Emberiza.cia,Fringilla.coelebs,Parus.caeruleus,Parus.cristatus,Parus.major,Serinus.citinella,Serinus.serinus,Coccothraustes.coccothraustes,Loxia.curvirostra,Vulpes.vulpes,Meles.meles,Martes.foina
Amelanchier.ovalis,0,0,0,0,3.55998576005696e-4,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,8.8999644001424e-4,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,1.77999288002848e-4,1.77999288002848e-4,1.77999288002848e-4
Arum.italicum,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,5.33997864008544e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0
Berberis.vulgaris,0,0,1.77999288002848e-4,0,0.0044499822000712,0,0.015129939480242079,7.11997152011392e-4,3.55998576005696e-4,0.001957992168031328,5.33997864008544e-4,0.00177999288002848,0,0,1.77999288002848e-4,0.005517977928088288,0.003737985048059808,0,0.001067995728017088,0.017443930224279102,0.001245995016019936,1.77999288002848e-4,7.11997152011392e-4,0,0,0.002847988608045568,7.11997152011392e-4,0.002135991456034176,0.001957992168031328,0,0,0,0,1.77999288002848e-4,0,1.77999288002848e-4
Cotoneaster.granatensis,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crataegus.monogyna,5.33997864008544e-4,3.55998576005696e-4,7.11997152011392e-4,0,0.006407974368102528,0,0.008721965112139551,0,0.001067995728017088,0.002135991456034176,0,7.11997152011392e-4,0,0,0,0.03132787468850125,0.0177999288002848,0.001601993592025632,0.010323958704165184,0.04610181559273763,0.025097899608401565,0.006763972944108224,0.011747953008187968,0.00266998932004272,1.77999288002848e-4,0.019935920256318976,0.002135991456034176,0.00622997508009968,0.012637949448202207,0,0.001245995016019936,0.006763972944108224,7.11997152011392e-4,1.77999288002848e-4,1.77999288002848e-4,1.77999288002848e-4
Daphne.laureola,0,0,0,0,1.77999288002848e-4,0,0,0,0,0.00177999288002848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8999644001424e-4,0,0,1.77999288002848e-4,0,0,0,0,0,0,0
Hedera.helix,0,0,0,0,7.11997152011392e-4,0,1.77999288002848e-4,0,0,0.009967960128159488,0,0,0,0,0,5.33997864008544e-4,0.012103951584193664,0,0,3.55998576005696e-4,8.8999644001424e-4,0,0,0,0,3.55998576005696e-4,0,0,0,0,0,0,0,0,0,0
Juniperus.communis,3.55998576005696e-4,0,0,0,3.55998576005696e-4,0,3.55998576005696e-4,0,0,0,0,1.77999288002848e-4,0,0,0,1.77999288002848e-4,0.00266998932004272,0,0,0.001067995728017088,0.001601993592025632,0,1.77999288002848e-4,0,0,1.77999288002848e-4,0,0.001245995016019936,0,0,0,0,0,1.77999288002848e-4,0,0
Juniperus.oxycedrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55998576005696e-4,0,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,1.77999288002848e-4,1.77999288002848e-4
Juniperus.phoenicea,5.33997864008544e-4,0,5.33997864008544e-4,0,0,0,0.001423994304022784,0,0,0,0,0,0,0,0,3.55998576005696e-4,0.003203987184051264,0,0.001423994304022784,0.032395870416518334,0.021003915984336062,5.33997864008544e-4,5.33997864008544e-4,0,0,0,0,0,0,0,0,0.001423994304022784,0,1.77999288002848e-4,1.77999288002848e-4,1.77999288002848e-4
Juniperus.sabina,0,0,3.55998576005696e-4,0,0,0,0.001067995728017088,0,0,0,0,0,0,0,0,0.001067995728017088,5.33997864008544e-4,0,0,0.009789960840156639,0.002491990032039872,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0
Lonicera.arborea,0,0,0,0,5.33997864008544e-4,0,0.004983980064079744,0,0,0.00177999288002848,0,3.55998576005696e-4,0,0,0,1.77999288002848e-4,0.001601993592025632,0,0,0.007297970808116768,3.55998576005696e-4,3.55998576005696e-4,0.001601993592025632,1.77999288002848e-4,0,0.00177999288002848,0,0,0.003025987896048416,0,0,0,0,1.77999288002848e-4,0,1.77999288002848e-4
Lonicera.etrusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonicera.splendida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Paeonia.officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polygonatum.odoratum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus.mahaleb,0.001245995016019936,0,3.55998576005696e-4,0.001423994304022784,0.028123887504449982,1.77999288002848e-4,0.11356354574581702,0.011569953720185119,0,0.00622997508009968,7.11997152011392e-4,0.004983980064079744,0.023495906016375936,3.55998576005696e-4,0.005161979352082592,0,0.05517977928088288,0,0,0,0.0708437166251335,0.01655393378426486,0.05072979708081168,0.00533997864008544,0,0.06924172303310787,0.010323958704165184,0.005517977928088288,0.006941972232111072,0.001067995728017088,8.8999644001424e-4,5.33997864008544e-4,0,0,0,0
Prunus.prostrata,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,3.55998576005696e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,0
Rhamnus.myrtifolius,0,0,0,0,0,0,0.001245995016019936,5.33997864008544e-4,0,0,0,0,0,0,3.55998576005696e-4,0,7.11997152011392e-4,0,0,0,0,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus.saxatilis,0,0,0,0,1.77999288002848e-4,0,0.001423994304022784,0,0,0,0,1.77999288002848e-4,3.55998576005696e-4,0,3.55998576005696e-4,1.77999288002848e-4,0,0,0,0,0,0,0,0,0,1.77999288002848e-4,0,1.77999288002848e-4,5.33997864008544e-4,0,0,0,0,0,0,0
Rosa.canina,0,0,0,0,3.55998576005696e-4,0,0.001957992168031328,0,0,0,0,0,0,0,0,7.11997152011392e-4,0.006763972944108224,1.77999288002848e-4,0.001601993592025632,0.005161979352082592,0.001423994304022784,0,1.77999288002848e-4,0,0,3.55998576005696e-4,3.55998576005696e-4,5.33997864008544e-4,8.8999644001424e-4,0,0,7.11997152011392e-4,8.8999644001424e-4,1.77999288002848e-4,1.77999288002848e-4,1.77999288002848e-4
