sp,Zosterops_japonica,Ficedula_narcissina,Turdus_chrysolaus,Turdus_pallidus,Columba_janthina,Sphenurus_formosae,Hypsipetes_amaurotis,Turdus_dauma
Ilex_goshiensis,0,0,0,0,0,0,0,0
Symplocos_prunifolia,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0.03333333333333333,0.03333333333333333,0
eurya_japonica,0.03333333333333333,0,0,0.016666666666666666,0,0.03333333333333333,0.03333333333333333,0
Myrsine_sguinii,0.03333333333333333,0,0,0.03333333333333333,0,0,0.03333333333333333,0
Ilex_rotunda,0,0,0,0,0,0,0,0
Taxillus_yadoriki,0,0,0,0,0,0,0.016666666666666666,0
Lonicera_affinis,0,0,0,0,0,0,0,0
Schefflera_octophylla,0.016666666666666666,0,0,0.03333333333333333,0.03333333333333333,0,0.03333333333333333,0
Psychotria_serpens,0,0,0,0,0,0,0,0
Cleyera_japonica,0.016666666666666666,0,0,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
Vaccinium_bracteatum,0,0,0,0.05,0,0,0,0
Ardisia_sieboldii,0,0,0,0.03333333333333333,0,0,0.016666666666666666,0
Kadsura_japonica,0,0,0,0,0,0,0,0
Syzygium_buxifolium,0,0,0,0,0,0,0,0
Rhaphiolepis_indica,0,0,0,0,0,0,0,0
Elaeocarpus_japonica,0,0,0,0,0,0,0,0
Elaeocarpus_sylvestris,0,0,0,0,0,0,0,0
Prunus_jamasakura,0,0,0,0,0,0,0.016666666666666666,0
Daphniphyllum_teijsmannii,0,0,0.03333333333333333,0,0.016666666666666666,0,0.03333333333333333,0
Morinda_umbellata,0,0,0,0,0,0,0,0
Neolitsea_aciculata,0,0,0,0,0,0,0.03333333333333333,0
Neolitsea_sericea,0,0,0,0,0,0,0,0
Persea_thunbergii,0,0,0,0,0,0,0.03333333333333333,0
Litsea_acuminata,0,0,0,0,0,0,0.05,0
Myrica_rubra,0,0,0,0,0.016666666666666666,0.03333333333333333,0.016666666666666666,0
Actinidia_arguta,0,0,0,0,0,0,0,0
Diospyros_morrisiana,0,0,0,0,0,0.016666666666666666,0,0
