sp,Penelope..sp,Patagioenas.cayennensis,Patagioenas.picazuro,Patagioenas.sp,Columbina..talpacoti,Leptotila..rufaxilla,Leptotila.verreauxi,Zenaida..auriculata,Crotophaga.ani,Guira..guira,Celeus..flavescens,Colaptes..campestris,Colaptes..melanochloros,Melanerpes..candidus,Veniliornis..spilogaster,Pachyramphus..polychopterus,Pachyramphus..validus,Camptostoma..obsoletum,Elaenia.flavogaster,Elaenia..sp,Xolmis..cinereus,Xolmis..velatus,Empidonomus..varius,Myiarchus..ferox,Myiarchus..sp,Myiarchus..swainsoni,Myiodynastes..maculatus,Myiozetetes..similis,Pitangus.sulphuratus,Tyrannus.melancholicus,Tyrannus.savana,Cyanocorax..cristatellus,Mimus..saturninus,Turdus..amaurochalinus,Turdus..leucomelas,Turdus.rufiventris,Turdus..sp,Cyclarhis..gujanensis,Vireo..olivaceus,Volatinia..jacarina,Zonotrichia..capensis,Pseudoleistes..guirahuro,Coryphospingus..cucullatus,Dacnis..cayana,Saltator..similis,Tachyphonus..coronatus,Tangara.cayana,Tersina..viridis,Thraupis.sayaca
Aegiphila integrifolia,0,0,0,0,0,0,0.002654867256637168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004424778761061947,8.849557522123894e-4,0,0,0,0,0,0,0,8.849557522123894e-4,0,8.849557522123894e-4,8.849557522123894e-4,0,0.007079646017699115
Bunchosia sp,8.849557522123894e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,0,0.005309734513274336,8.849557522123894e-4,0,0,0,0,0,0,0,8.849557522123894e-4,0.002654867256637168,0.0017699115044247787,8.849557522123894e-4,0,0.007079646017699115
Cestrum mariquitense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017699115044247787
Lithrea caustica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,0,0,0,0
Myrsine sp,0,0,0,0,0.0017699115044247787,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,0,0,0,0,8.849557522123894e-4,8.849557522123894e-4,0,0,0.0035398230088495575,0,8.849557522123894e-4,0.0035398230088495575,0,0,0,0.018584070796460177,0.002654867256637168,0,0,0,0,0,0,0,0,0,0,0,0,0.0035398230088495575
Schinus terebinthifolius,0,0,0,0,0,0,0,8.849557522123894e-4,8.849557522123894e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0.002654867256637168,0,0,0,0,0.012389380530973451,0.002654867256637168,0,0,0,0,0,8.849557522123894e-4,0,0.01504424778761062
Syzygium cumini,0,0,0.0017699115044247787,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0.0017699115044247787,8.849557522123894e-4,0,0.008849557522123894,0.0017699115044247787,0,0,0,0,0,0,0,0,0,0,0,0,0.011504424778761062
Protium heptaphyllum,0,8.849557522123894e-4,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,0.007079646017699115,0,0,0,0,0,0.01504424778761062,0.0035398230088495575,8.849557522123894e-4,8.849557522123894e-4,0,0,0,0,8.849557522123894e-4,0.005309734513274336,0.007964601769911504,0,0.021238938053097345,0,0.04424778761061947
Guarea macrophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004424778761061947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus urticifolius,8.849557522123894e-4,0,0,0,0,0,0,0,0.006194690265486726,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,8.849557522123894e-4,0,8.849557522123894e-4,0,0,0,0,0,0,0,0.011504424778761062,0,0,0
Cordia sellowiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017699115044247787
Maclura tinctoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0,0,0,8.849557522123894e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050442477876106194
Casearia sylvestris,0,0,0,0,0,8.849557522123894e-4,0,0,0,0.0017699115044247787,0.0017699115044247787,8.849557522123894e-4,0,0,0,0,0,0.0017699115044247787,8.849557522123894e-4,8.849557522123894e-4,8.849557522123894e-4,0.005309734513274336,8.849557522123894e-4,0,0.006194690265486726,0,0.0035398230088495575,8.849557522123894e-4,0.0035398230088495575,0.004424778761061947,0.06814159292035399,0.007079646017699115,0,0.002654867256637168,0.02743362831858407,0.010619469026548672,0,0.0035398230088495575,0.009734513274336283,0.01415929203539823,0.011504424778761062,0.0035398230088495575,8.849557522123894e-4,0.008849557522123894,8.849557522123894e-4,0.012389380530973451,0.0017699115044247787,8.849557522123894e-4,0.04513274336283186
Erythroxylum deciduum,0,0.002654867256637168,0.011504424778761062,0.002654867256637168,0,0,0,0,0,0,0.0017699115044247787,0.007964601769911504,0.0017699115044247787,0.002654867256637168,8.849557522123894e-4,0.005309734513274336,0.0017699115044247787,0.005309734513274336,0.007079646017699115,0.0017699115044247787,0,0.01504424778761062,0.01504424778761062,0.0035398230088495575,0.01327433628318584,0.0017699115044247787,0.009734513274336283,0.009734513274336283,0.023893805309734513,0.010619469026548672,0.023008849557522124,0.005309734513274336,8.849557522123894e-4,0.0017699115044247787,0.07168141592920355,0.023008849557522124,0,0.0017699115044247787,0.0035398230088495575,0.005309734513274336,0.01415929203539823,0,0,0.007079646017699115,8.849557522123894e-4,0,0.008849557522123894,8.849557522123894e-4,0.05309734513274336
Persea willdenovii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.849557522123894e-4,0,0.0017699115044247787,0,0,0,0,0.017699115044247787,0.004424778761061947,0,8.849557522123894e-4,0,0,0,0,0,0,0,0,0,0,0
