sp,Turdus.rufiventris,Penelope.obscura,Turdus.albicollis,Basileuterus.culicivorus,Pteroglossus.bailloni,Chiroxiphia.caudata,Trichothraupis.melanops,Celeus.flavescens,Manacus.manacus,Tachyphonus.coronatus,Tangara.cayana,Turdus.amaurochalinus,Pteroglossus.aracari,Tangara.cyanoventris,Dacnis.cayana,Elaenia.sp,Thraupis.sayaca,Turdus.leucomelas,Saltator.similis,Thlypopsis.sordida,Ilicura.militaris,Trogon.surrucura,Hylophilus.amaurocephalus,Megarynchus.pitangua,Hemithraupis.ruficapilla,Pitangus.sulphuratus,Tolmomyias.sulphurescens,Mionectes.rufiventris
Ilex sp,0,0.005681818181818182,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inga ynga,0,0.011363636363636364,0.011363636363636364,0,0,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0.011363636363636364,0,0,0,0,0,0,0,0,0,0
Cecropia glaziovii,0,0,0,0,0,0,0,0,0,0.011363636363636364,0,0,0,0.005681818181818182,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0
Casearia sylvestris,0,0,0,0,0,0,0.005681818181818182,0,0,0.005681818181818182,0,0,0,0.011363636363636364,0.005681818181818182,0,0,0,0.005681818181818182,0,0,0,0,0,0.005681818181818182,0,0,0.005681818181818182
Nectandra sp,0,0.005681818181818182,0.005681818181818182,0,0.005681818181818182,0.005681818181818182,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0
Nectandra lanceolata,0.017045454545454544,0.011363636363636364,0.011363636363636364,0,0,0,0,0,0,0,0,0,0.011363636363636364,0,0,0,0,0.011363636363636364,0,0,0,0,0,0,0,0,0,0
Senna macranthera,0,0,0,0,0,0,0,0,0,0,0.011363636363636364,0,0,0,0,0,0.011363636363636364,0,0,0,0,0,0,0,0,0,0,0
Inga edulis,0,0,0,0,0,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia cinnamomifolia,0.005681818181818182,0.011363636363636364,0.028409090909090908,0,0.011363636363636364,0.03409090909090909,0.03977272727272727,0.005681818181818182,0.022727272727272728,0.028409090909090908,0.03977272727272727,0.005681818181818182,0.005681818181818182,0.03409090909090909,0.028409090909090908,0.03409090909090909,0.03409090909090909,0.005681818181818182,0.005681818181818182,0.005681818181818182,0,0,0,0,0.011363636363636364,0,0.005681818181818182,0
Miconia tentaculifera,0,0,0,0.005681818181818182,0,0.03409090909090909,0.022727272727272728,0,0.017045454545454544,0.028409090909090908,0,0,0,0.022727272727272728,0.011363636363636364,0,0,0,0.017045454545454544,0,0.005681818181818182,0,0,0,0,0,0,0
Miconia budlejoides,0,0,0,0,0,0.011363636363636364,0.005681818181818182,0,0,0.005681818181818182,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia sp,0,0,0,0,0,0,0,0,0.005681818181818182,0.005681818181818182,0,0,0,0.005681818181818182,0,0.005681818181818182,0.011363636363636364,0,0.005681818181818182,0,0,0,0,0.005681818181818182,0.005681818181818182,0.005681818181818182,0,0
Guarea macrophylla,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ficus sp,0,0,0,0,0,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guapira opposita,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouratea polygyna,0,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0
Rubiaceae sp,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudgea sessilis,0,0,0,0,0,0.011363636363636364,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria sp1,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus edulis,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paullinia sp,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symplocos pubescens,0,0,0,0,0,0,0,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegiphila integrifolia,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005681818181818182,0.005681818181818182,0,0,0,0
unknown sp,0,0,0.005681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
