sp,Thraupis.sayaca,Zonotrichia.capensis,Turdus.leucomelas,Elaenia.flavogaster,Icterus.cayanensis,Myiodynastes.maculatus,Megarynchus.pitangua,Myiarchus.ferox,Pitangus.sulphuratus,Turdus.amaurochalinus,Tyrannus.melancholicus,Mimus.saturninus,Tachyphonus.coronatus,Pyrrhocoma.ruficeps,Tangara.cayana
Cecropia pachystachya,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
Cordia africana,0,0,0.025,0.0125,0.0125,0.025,0,0,0,0,0,0,0,0,0
Citharexylum myrianthum,0,0,0.275,0,0,0.1375,0.0125,0.0375,0.0125,0.0625,0.025,0,0,0,0
Eugenia uniflora,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0
Ficus sp,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maytenus sp,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0
Momordica charantia,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0
Schinus terebinthifolius,0.025,0.0125,0.0375,0,0,0,0,0,0,0,0,0.0125,0.025,0,0.0125
Morus alba,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0.0125,0
Cestrum mariquitense,0,0,0.0125,0,0,0,0,0,0.0125,0,0,0,0,0,0
Miconia sp,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0
Olyra sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125
