sp,Attila.phoenicurus,Baryphthengus.ruficapillus,Cacicus.chrysopterus,Camptostoma.obsoletum,Carpornis.cucullata,Celeus.flavescens,Chiroxiphia.caudata,Coereba.flaveola,Conirostrum.speciosum,Dacnis.cayana,Elaenia.flavogaster,Elaenia.sp,Empidonomus.varius,Euphonia.chalybea,Euphonia.chlorotica,Euphonia.violacea,Habia.rubica,Hemithraupis.ruficapilla,Hylophilus.poicilotis,Trichothraupis.melanops,Lathrotriccus.euleri,Melanerpes.flavifrons,Mionectes.rufiventris,Myiodynastes.maculatus,Myiozetetes.similis,Orthogonys.chloricterus,Oxyruncus.cristatus,Patagioenas.plumbea,Penelope.obscura,Phylloscartes.sylviolus,Pitangus.sulphuratus,Pyroderus.scutatus,Ramphastos.dicolorus,Schiffornis.virescens,Setophaga.pitiayumi,Tachyphonus.coronatus,Tangara.cayana,Thraupis.cyanocephala,Thraupis.cyanoptera,Tangara.desmaresti,Thraupis.ornata,Thraupis.palmarum,Thraupis.sayaca,Tangara.seledon,Tersina.viridis,Tityra.cayana,Tityra.inquisitor,Troglodytes.musculus,Trogon.rufus,Trogon.surrucura,Turdus.albicollis,Turdus.amaurochalinus,Turdus.flavipes,Turdus.leucomelas,Turdus.rufiventris,Tyrannus.melancholicus,Vireo.olivaceus,Zonotrichia.capensis
Aegiphila integrifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0
Cissampelos andromorpha,0,0,0,0,0,0,0.0037313432835820895,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01585820895522388,0,0,0,0.0037313432835820895,0,0,0
Citrus reticulata,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018656716417910447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clusia criuva,0,0,0,9.328358208955224e-4,0,0.0018656716417910447,0,0,0,0.002798507462686567,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037313432835820895,0,9.328358208955224e-4,0,9.328358208955224e-4,0,0,0.008395522388059701,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,9.328358208955224e-4
Cupania vernalis,0,0,0,0.002798507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018656716417910447,0
Eriobotrya japonica,0,0,0.009328358208955223,0,0,9.328358208955224e-4,0,0.012126865671641791,0,0.033582089552238806,0,0,0,0,0,0.0065298507462686565,0,9.328358208955224e-4,0,9.328358208955224e-4,0,0.0037313432835820895,0,0,0,0,0,0,0.013992537313432836,0,0,9.328358208955224e-4,0.0037313432835820895,0,0,0.0065298507462686565,0.008395522388059701,0.0065298507462686565,0.007462686567164179,9.328358208955224e-4,0.01585820895522388,0.0065298507462686565,0.01958955223880597,0.0046641791044776115,0,0,0,0,0,0,0,0,0,0.007462686567164179,0.0065298507462686565,0,0,0.0065298507462686565
Erythroxylum ambiguum,0,0,0,0,0,0,0.0018656716417910447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0.002798507462686567,0,0,0
Eugenia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018656716417910447,0,0.002798507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugenia uniflora,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0.0018656716417910447,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0,0,0,0
Euterpe edulis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008395522388059701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.328358208955224e-4,0,0,0,0,0
