sp,Coccothraustes_coccothraustes,Dendrocopos_major,Erithacus_rubecula,Muscicapa_striata,Parus_major,Poecile_palustris,Sitta_europaea,Sylvia_atricapilla,Sylvia_borin,Turdus_merula,Turdus_philomelos,Turdus_pilaris,Turdus_viscivorus
Prunus_padus,0.008565310492505354,0,0,0.0021413276231263384,0.029978586723768737,0,0,0.027837259100642397,0.0021413276231263384,0.03854389721627409,0.0021413276231263384,0.0021413276231263384,0.0021413276231263384
Ribes_nigrum,0,0,0,0,0,0,0,0,0,0,0.006423982869379015,0,0
Lonicera_xylosteum,0,0,0,0,0,0,0,0,0,0.0021413276231263384,0.004282655246252677,0,0
Frangula_alnus,0,0.01284796573875803,0.1006423982869379,0.004282655246252677,0.006423982869379015,0.004282655246252677,0.008565310492505354,0.3875802997858672,0.02569593147751606,0.01284796573875803,0.0021413276231263384,0,0
Cornus_sanguinea,0,0,0.07066381156316917,0,0,0,0,0.07708779443254818,0,0.01284796573875803,0.004282655246252677,0,0
Euonymus_verrucosus,0,0,0.004282655246252677,0,0,0,0,0.0021413276231263384,0,0,0,0,0
Viburnum_opulus,0,0,0.05139186295503212,0,0.004282655246252677,0,0,0.006423982869379015,0,0.004282655246252677,0,0,0
Euonymus_europaeus,0,0,0.006423982869379015,0,0,0,0,0.01284796573875803,0,0,0,0,0
Sorbus_aucuparia,0,0,0.008565310492505354,0,0,0.0021413276231263384,0,0.006423982869379015,0,0.004282655246252677,0,0,0
Rhamnus_cathartica,0,0,0.01284796573875803,0,0.0021413276231263384,0,0,0.006423982869379015,0,0.006423982869379015,0,0,0
