sp,S_portoricensis,E_musica,N_speculiferus,L_portoricensus,V_altiloquous,M_portoricensis,Z_asiatica,T_dominicensis,M_fuscatus,c_squamosa,D_tignina,C_flaveola,V_flavirostris,V_latimeri,T_caudifasciatus,T_mexicanus,T_bicolor,M_antillarum,I_dominicensis,D_caerulescens
P_spp_,0.021141649048625793,0.11627906976744186,0.006342494714587738,0.019027484143763214,0.0021141649048625794,0,0,0,0,0,0,0.0021141649048625794,0.0021141649048625794,0,0,0,0,0,0,0
S_morototoni,0.11627906976744186,0.0021141649048625794,0.008456659619450317,0.0021141649048625794,0.006342494714587738,0,0,0.008456659619450317,0.0021141649048625794,0.010570824524312896,0.0021141649048625794,0.0021141649048625794,0,0,0.0021141649048625794,0,0,0,0,0
C_schrebeiana,0.0613107822410148,0,0.012684989429175475,0.012684989429175475,0.008456659619450317,0.006342494714587738,0,0,0.0021141649048625794,0,0.006342494714587738,0.004228329809725159,0,0,0,0,0,0,0,0.0021141649048625794
Ficus_spp_,0.07188160676532769,0,0.008456659619450317,0,0.0021141649048625794,0,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0
G_guidonia,0,0,0.010570824524312896,0.035940803382663845,0.02959830866807611,0,0,0,0.0021141649048625794,0,0,0,0.0021141649048625794,0,0,0,0,0,0,0
C_sulcata,0.05919661733615222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_latifolia,0.006342494714587738,0,0,0.02959830866807611,0.006342494714587738,0,0.010570824524312896,0,0,0,0,0,0,0.0021141649048625794,0,0.0021141649048625794,0,0,0,0
M_serrulata,0.012684989429175475,0.004228329809725159,0.02536997885835095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clusea_rosea,0,0,0.0021141649048625794,0,0.023255813953488372,0.006342494714587738,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0.0021141649048625794,0.0021141649048625794,0
Anthurium_scandens,0.0021141649048625794,0.03382663847780127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inga_vera,0.008456659619450317,0,0.016913319238900635,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_affinis,0.004228329809725159,0,0.021141649048625793,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musa_acuminata,0,0,0.004228329809725159,0.0021141649048625794,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropemon_bicolor,0,0,0.006342494714587738,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syzigium_jambos,0,0,0.0021141649048625794,0.006342494714587738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myercine_coriacea,0,0,0.004228329809725159,0.0021141649048625794,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andira_inermis,0.0021141649048625794,0,0,0,0.004228329809725159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffea_arabica,0,0,0,0.0021141649048625794,0.004228329809725159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tilandsia_sp_,0,0,0.006342494714587738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia_racemosa,0,0,0.004228329809725159,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palicourea_guianensis,0,0,0.0021141649048625794,0.004228329809725159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casearia_arborea,0.0021141649048625794,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus-sinensis,0.0021141649048625794,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buchenavia_capitata,0,0,0,0.0021141649048625794,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropanax_arboreus,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Momordica_charantia,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solanum_rugosum,0,0,0,0,0,0,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0
Henriettea_fascicularis,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igna_laurina,0,0,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palicourea_crocea,0,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zanthoxylum_martinicensis,0,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philodendron_angustatum,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cissampelos_pareira,0,0,0.0021141649048625794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piper_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021141649048625794,0,0,0
