sp,Carollia_perspicillata,Artibeus_lituratus,Sturnira_lilium,Vampyressa_pussila,Glossophaga_soricina,Plathyrrhinus_recifinus
Cecropia_glaziovi,0.11428571428571428,0.05714285714285714,0,0,0.02857142857142857,0.02857142857142857
Solanaceae_sp4,0.14285714285714285,0,0.05714285714285714,0,0,0
Piper_sp,0.08571428571428572,0.02857142857142857,0,0,0,0
Psidium_sp1,0,0.05714285714285714,0.02857142857142857,0,0,0
Psidium_sp2,0,0.02857142857142857,0,0.05714285714285714,0,0
Piper_aduncum,0,0.02857142857142857,0.02857142857142857,0,0,0
Carica_papaya,0,0.02857142857142857,0,0,0,0
Ficus_sp1,0,0.02857142857142857,0,0,0,0
Ficus_sp2,0,0.02857142857142857,0,0,0,0
Ficus_sp3,0,0.02857142857142857,0,0,0,0
Miconia_sp,0,0.02857142857142857,0,0,0,0
Solanaceae_sp1,0,0,0.02857142857142857,0,0,0
Solanaceae_sp2,0.02857142857142857,0,0,0,0,0
Solanaceae_sp3,0.02857142857142857,0,0,0,0,0
