sp,Artbeus_jamaicensis,Artbeus_tolteca,Carollia_sowelli,Dermanura_tolteca,Glossophaga_commissarisi,Sturnira_parvidens,Sturnira_hondurensis
Af._Cecropia,0.0026954177897574125,0,0,0,0,0,0
Hedyosmum_mexicanum,0,0,0.005390835579514825,0,0,0.013477088948787063,0.14285714285714285
Lycianthes_geminifolia,0,0,0,0.0026954177897574125,0,0.008086253369272238,0.005390835579514825
Miconia_glaberrima,0,0,0,0,0,0,0.0026954177897574125
Piper_hispidum,0.0026954177897574125,0,0.029649595687331536,0,0,0.0026954177897574125,0.1293800539083558
Piper_lapathifolium,0,0,0.02425876010781671,0,0,0.05929919137466307,0.14555256064690028
Piper_spp1,0,0,0,0,0,0,0.005390835579514825
Piper_auritum,0,0,0.016172506738544475,0,0,0,0.029649595687331536
Piper_sp3,0,0,0,0,0,0,0.0026954177897574125
Piper_sp4,0,0,0,0,0,0,0.005390835579514825
Solanaceae_sp1,0,0,0,0,0,0,0.008086253369272238
Solanaceae_sp2,0,0,0.0026954177897574125,0,0,0,0
Solanaceae_sp3,0,0,0,0,0,0.0026954177897574125,0.008086253369272238
Solanaceae_sp4,0,0,0,0,0,0,0.018867924528301886
Solanum_acerifolium,0,0,0,0,0,0,0.005390835579514825
Solanum_aphyodendron,0.0026954177897574125,0.0026954177897574125,0.016172506738544475,0.01078167115902965,0,0.026954177897574125,0.08355795148247978
Solanum_schlechtendalianum,0.0026954177897574125,0,0.005390835579514825,0,0,0.016172506738544475,0.09433962264150944
Solanum_diforum,0,0,0.0026954177897574125,0,0,0,0.0026954177897574125
Unk._Sp1,0,0,0.0026954177897574125,0,0,0.005390835579514825,0.005390835579514825
Unk._Sp4,0.0026954177897574125,0,0,0,0,0,0
Unk._Sp5,0.0026954177897574125,0,0,0,0,0,0
Trema_micrantha,0.008086253369272238,0,0,0.01078167115902965,0.0026954177897574125,0,0.01078167115902965
