sp,Artbeus_jamaicensis,Carollia_sowelli,Dermanura_tolteca,Glossophaga_soricina,Sturnira_parvidens,Sturnira_hondurensis
Af._Cecropia,0.02127659574468085,0,0,0,0,0
Eriobotrya_japonica,0,0,0.010638297872340425,0,0,0
Ficus_(Urostigma),0.010638297872340425,0,0,0,0,0
Hedyosmum_mexicanum,0,0,0,0,0,0.010638297872340425
Lycianthes_geminifolia,0.05319148936170213,0.010638297872340425,0,0,0.02127659574468085,0.0425531914893617
Miconia_mexicana,0,0,0,0.010638297872340425,0,0
Piper_auritum,0.010638297872340425,0.010638297872340425,0,0,0,0.10638297872340426
Piper_hispidum,0,0,0,0,0.010638297872340425,0.02127659574468085
Piper_lapathifolium,0,0.010638297872340425,0,0,0.0425531914893617,0.02127659574468085
Piper_sp2,0,0.010638297872340425,0,0,0,0
Piper_sp5,0,0,0,0.010638297872340425,0,0
Solanaceae_sp2,0,0,0,0,0,0.010638297872340425
Solanum_acerifolium,0,0,0,0,0,0.0425531914893617
Solanum_aphyodendron,0,0.0425531914893617,0.010638297872340425,0,0.02127659574468085,0.1276595744680851
Solanum_schlechtendalianum,0,0.010638297872340425,0,0,0,0.0425531914893617
Unk._Sp2,0.010638297872340425,0,0,0,0,0
Unk._Sp3,0.010638297872340425,0,0,0,0,0
Trema_micrantha,0.010638297872340425,0,0,0,0,0
Vismia_mexicana,0,0.07446808510638298,0.010638297872340425,0,0.010638297872340425,0.11702127659574468
